channel_id,video_id,title,published_text,length_seconds,views,is_live,description_snippet,is_commercial,has_emotional_title,emotional_score,commercial_binary,child_protagonist,privacy_score,clickbait_score,content_type,title_length,word_count,caps_ratio,caps_word_count,exclamation_count,question_count,has_ellipsis,special_char_ratio,emoji_count,sentiment_compound,has_challenge,has_prank,has_surprise,num_faces,max_face_ratio,has_open_mouth,brightness,saturation,colorfulness,has_text_overlay
UCk8GzjMOrta8yxDcKfylJYw,XYuick59Gs0,Kids Learn Why Safety Matters,1 month ago,1521,1083650.0,False,,False,False,,,,,,,29,5,0.2,0,0,0,False,0.0,0,0.4404,False,False,False,2,0.088134765625,False,167.2533669704861,103.03432183159724,70.98404190364496,False
UCk8GzjMOrta8yxDcKfylJYw,3bq2yOr6JqY,Kids Inside the Human Body | Science for Kids,1 month ago,1435,6276291.0,False,,False,False,,,,,,,45,9,0.1666666666666666,0,0,0,False,0.0222222222222222,0,0.0,False,False,False,1,0.038759765625,True,208.725732421875,135.83236436631944,124.8118876888628,False
UCk8GzjMOrta8yxDcKfylJYw,sIonITRkiYs,Cardboard Houses Challenge for kids,1 month ago,1827,3251410.0,False,,False,False,,,,,,,35,5,0.0967741935483871,0,0,0,False,0.0,0,0.0772,True,False,False,4,0.0478515625,True,207.11708658854167,188.16736979166663,167.43372662335952,False
UCk8GzjMOrta8yxDcKfylJYw,zvdPu2VniM8,Healthy Habits for Kids! Clean & Hygiene Stories,1 month ago,1570,3208955.0,False,,False,False,,,,,,,48,8,0.1538461538461538,0,1,0,False,0.0416666666666666,0,0.69,False,False,False,3,0.0802777777777777,True,219.92544162326388,110.33550021701387,108.16882653944266,False
UCk8GzjMOrta8yxDcKfylJYw,JBcG75_yClI,"ABC, Shapes & Numbers! Fun Learning Challenges for Kids",1 month ago,1210,2129991.0,False,,False,False,,,,,,,55,9,0.2045454545454545,1,1,0,False,0.0545454545454545,0,0.5983,True,False,False,4,0.0069444444444444,False,221.46548394097223,170.67391710069444,166.15459992054326,False
UCk8GzjMOrta8yxDcKfylJYw,H7b4qr0n4ec,Oliver and Adam Visit a Farm with Their Mom,1 month ago,1200,1376640.0,False,,False,False,,,,,,,43,9,0.1714285714285714,0,0,0,False,0.0,0,0.0,False,False,False,2,0.0032823350694444,False,164.472734375,127.94610134548611,99.0459637519118,True
UCk8GzjMOrta8yxDcKfylJYw,j665V6VtnxE,Giant Dinosaurs at Home & Other Animal Adventures,1 month ago,2348,3390298.0,False,,False,False,,,,,,,49,8,0.1463414634146341,0,0,0,False,0.0204081632653061,0,0.34,False,False,False,2,0.0218793402777777,False,225.7099197048611,96.22000542534722,101.7343437979188,False
UCk8GzjMOrta8yxDcKfylJYw,9z6bVYcWBZM,Robo Nanny! Kids vs the New Babysitter,1 month ago,1392,3063243.0,False,,False,False,,,,,,,38,7,0.1612903225806451,0,1,0,False,0.0263157894736842,0,0.0,False,False,False,4,0.177978515625,True,210.4730989583333,125.4453244357639,121.1331493294498,False
UCk8GzjMOrta8yxDcKfylJYw,Zl0W2HK_vr4,Adam Helps Mom Take Care of the Puppy,2 months ago,1285,2987461.0,False,,False,False,,,,,,,37,8,0.2,0,0,0,False,0.0,0,0.7003,False,False,False,1,0.0501573350694444,True,224.3235329861111,73.06368815104166,71.0145641966153,False
UCk8GzjMOrta8yxDcKfylJYw,9ugeJzpj8qE,Adam and Oliver Play Cafe,2 months ago,1319,3159082.0,False,,False,False,,,,,,,25,5,0.1904761904761904,0,0,0,False,0.0,0,0.34,False,False,False,2,0.057900390625,True,203.50698350694444,86.57870551215278,75.1158071282707,False
UCk8GzjMOrta8yxDcKfylJYw,nnSJVMSicaQ,"100+ Minutes Kids Challenges - Games, Mazes & Adventures",2 months ago,6219,4297967.0,False,,False,False,,,,,,,56,9,0.1463414634146341,0,0,0,False,0.0714285714285714,0,0.4019,True,False,False,3,0.057900390625,True,226.29075303819445,177.80990451388888,159.7908731900124,False
UCk8GzjMOrta8yxDcKfylJYw,rOR9bCBG_Ig,A Child Looking for a New Home 🏠,2 months ago,1311,3987852.0,False,,False,False,,,,,,,32,8,0.2083333333333333,0,0,0,False,0.03125,1,0.0,False,False,False,1,0.0442751736111111,True,202.3959429253472,171.647734375,146.3719758847125,False
UCk8GzjMOrta8yxDcKfylJYw,xfbqLTcdORQ,Learning to Help - Kids Adventure Stories,2 months ago,1273,1960944.0,False,,False,False,,,,,,,41,7,0.1470588235294117,0,0,0,False,0.024390243902439,0,0.6124,False,False,False,1,0.0544444444444444,True,226.41225151909725,73.08032769097223,92.346415095624,False
UCk8GzjMOrta8yxDcKfylJYw,PtX-N1_Eaj0,Magic Emotion Doors Adventure,2 months ago,1665,9723140.0,False,,False,False,,,,,,,29,4,0.1538461538461538,0,0,0,False,0.0,0,0.3182,False,False,False,3,0.027431640625,False,205.10795355902775,229.72390950520835,199.80574343366487,False
UCk8GzjMOrta8yxDcKfylJYw,3OhDk73b_xc,Valentine’s Day at School,2 months ago,1518,12364110.0,False,,False,False,,,,,,,25,4,0.1428571428571428,0,0,0,False,0.04,0,0.0,False,False,False,4,0.0302615017361111,True,204.21253038194445,96.35698459201387,79.95372560154858,False
UCk8GzjMOrta8yxDcKfylJYw,aXEeGWn2ymY,Magic Microwave and Other Fun Kids Stories,2 months ago,1309,2708949.0,False,,False,False,,,,,,,42,7,0.1666666666666666,0,0,0,False,0.0,0,0.5106,False,False,False,1,0.142978515625,False,225.07865125868057,158.6902951388889,151.23670913184242,False
UCk8GzjMOrta8yxDcKfylJYw,nzTxCpPTVgQ,"Fun Kids Experiments at Home - Slime, Sand & Colors",2 months ago,1284,3968012.0,False,,False,False,,,,,,,51,10,0.1794871794871795,0,0,0,False,0.0588235294117647,0,0.5106,False,False,False,1,0.060947265625,True,235.8326312934028,110.49903645833334,138.4030981854885,False
UCk8GzjMOrta8yxDcKfylJYw,BHnKy53rjrk,Inflatable Pool Toys Adventure - Kids Learn to Share,2 months ago,1452,3463846.0,False,,False,False,,,,,,,52,9,0.1627906976744186,0,0,0,False,0.0192307692307692,0,0.5423,False,False,False,1,0.0095876736111111,False,189.84709635416667,148.984091796875,131.61063315146072,True
UCk8GzjMOrta8yxDcKfylJYw,lmutDiX_jis,Family Vlog Stories for Kids | Fun Days & Trips,2 months ago,3627,2583960.0,False,,False,False,,,,,,,47,10,0.1944444444444444,0,0,0,False,0.0425531914893617,0,0.5106,False,False,False,5,0.0108506944444444,False,192.84954318576388,147.806015625,122.4005532349932,False
UCk8GzjMOrta8yxDcKfylJYw,gKnAwqX2KMQ,Family Fun at Ski Dubai - Winter Adventures for Kids,2 months ago,1249,1372960.0,False,,False,False,,,,,,,52,10,0.1666666666666666,0,0,0,False,0.0192307692307692,0,0.6908,False,False,False,3,0.0112890625,False,193.94504014756944,151.8500336371528,123.93512753829742,False
UCk8GzjMOrta8yxDcKfylJYw,HVnNNjNfVb8,Robo Pets vs. Real Pets! Kids Want a Pet,2 months ago,1599,5773156.0,False,,False,False,,,,,,,40,9,0.2333333333333333,0,1,0,False,0.05,0,0.1511,False,False,False,2,0.0862890625,False,194.9061328125,188.9384418402778,156.0621509744481,False
UCk8GzjMOrta8yxDcKfylJYw,u6Ype20iN2k,Kids in a Cardboard World - Best Cardboard Adventures  for kids,3 months ago,1948,2478571.0,False,,False,False,,,,,,,63,11,0.1176470588235294,0,0,0,False,0.0158730158730158,0,0.765,False,False,False,1,0.0525173611111111,True,193.1324826388889,150.60395941840278,108.51405200862536,False
UCk8GzjMOrta8yxDcKfylJYw,y0PP39nXP8E,Kids Police Chase Adventure - Escapes & Challenges,3 months ago,1936,903341.0,False,,False,False,,,,,,,50,8,0.1463414634146341,0,0,0,False,0.04,0,0.4767,True,False,False,4,0.0761990017361111,True,183.35848524305555,165.577958984375,120.538006357236,False
