id,title,publishedAt,channelId,channelTitle,viewCount,likeCount,commentCount,channel_short_name,channel_category
_k2RbDKKB-4,"Ashton SMASH! VS Payton, Paxton and Bryton!",3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
hJjFZ9cNDGw,Who Won? The Ultimate Ninja Star! Final Video,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
1oeavAHMgJo,Who is the Ultimate Ninja Kidz Champion? Gymnastics!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
rgRh9hpBRL0,Who’s the Best NINJA? Talent Search Episode 3,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
8InOvKU_b6c,Who’s the best Karate Kid? Ultimate Ninja Star! Talent Search Episode 2,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
D7mG_L1zkL8,Who are the New Ninja Kidz? Talent Search!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
FnY7YwGEolY,I Built A Backyard Wrecking Ball Obstacle Course!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
Mx0mzzKeMPM,"Official Music Video! New Song! *Emotional* Get Up, Get Out!",3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
N5pi6WynxhY,TURBO BATTLE! Bryton Has A Secret Crush!?,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
wfKc4C8hY_g,We found a SECRET AKEDO BATTLE TOURNAMENT!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
Bkc9GC-bfJg,Living Like Legends! Ninja Kidz Music Video!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
i8kOe52wn_A,Elemental Masters! Ninja Kidz Movie!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
vtZuXHERZMk,GIRLS vs BOYS GYMNASTICS COMPETITION! Loser Calls Their Crush!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
N2sDj0XxOiA,Evil Robot Takes Over Our SCHOOL!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
WPM695Or5Cs,Pirates VS Dinosaurs! Dino Island!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
CoWLGVXdoeQ,Ninjaz VS Evil Villains Healthbar Battle!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
d4yO_hPPe5o,"Bullies Pick On Kid, What Happens Next Is SHOCKING",3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
A-8v8Xrpd4o,Jurassic World Dinosaurs Take Over Our Field Trip!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
4pk7vqjANU8,Zombies Took Over our Campout! X-Shot!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
F2tvOUCfINY,She's Grounded for LIFE! Crazy Pranks! IMPOSTERS are back!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
9kk4SxxJANQ,Can a SISTER Beat Her OLDER BROTHERS in 18 Challenges?,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
steLgKU_xpo,SONIC The Hedgehog VS The FLASH!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
Dohejh9KqkI,My brother SHRUNK us! Worlds biggest Hot Wheels!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
pnN5AFdLdgM,Pause Remote Pranks on my Family! WWE,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
QaSDlhsLXMk,TWIN VS TWIN EXTREME YOGA CHALLENGE IN THE DESERT!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
c3A1rxlgIJU,NINJAZ VS MONSTER EASTER BUNNY!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
YAAobaL8-RQ,BOYS VS GIRLS 3 Person Yoga Challenge!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
qyKEC_F45jg,Girls vs Boys! Super Ninja Challenge!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
U7Fdd8p6gTs,Extreme Game of Freeze Tag!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
nCzxCngBDBg,"Last To Leave Circle Wins $1,000",4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
RXsnx-CBTEg,Love Ninjas! We Gave Valentines to 1000 People!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
SD7zIlFg0V8,Robofish Family Prank Mystery!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
AkziXoneP64,The NINJA KIDZ SUPER DOJO!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
G6lJcRvuVb4,Best Of 2021! Ninja REWIND!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
TpRnr3MpWD0,Who's The Best Gymnast? Gymnastics Videos!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
SbXke5CfHkI,Among Us In Real Life - CHRISTMAS EDITION!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
