channel_id,video_id,title,published_text,length_seconds,views,is_live,badges,description_snippet,is_commercial,has_emotional_title
https://www.youtube.com/@KidsdianaShow,300OOrXH4xE,Wild Animal Adventure at Home - Kids Learn Animal Names,3 months ago,1431,2815116,False,,,False,False
https://www.youtube.com/@KidsdianaShow,KK6Z4h8psdo,Prince Oliver Saves the Princesses,3 months ago,1525,15171788,False,,,False,False
https://www.youtube.com/@KidsdianaShow,rRG5UQOQKOs,Poor vs Rich Girl & Magic Fairy Tales for kids,3 months ago,1350,2810218,False,,,False,False
https://www.youtube.com/@KidsdianaShow,cGR9SwWY6NI,Runaway Balloons + More Stories with Adam & Oliver,3 months ago,1832,34123452,False,,,False,False
https://www.youtube.com/@KidsdianaShow,CtajBfsXQME,Giant Slime at Home - Fun Slime Lab with Oliver & Friends,3 months ago,1424,1231402,False,,,False,False
https://www.youtube.com/@KidsdianaShow,Ug-k6qSNMsk,No Sweets at School! Fun kids challenges & Rules for Kids,3 months ago,1588,6431356,False,,,False,False
https://www.youtube.com/@KidsdianaShow,BcAdidGyDtI,"10 vs 100 vs 1,000,000 House Decorating challenge",3 months ago,1265,34410869,False,,,False,False
https://www.youtube.com/@KidsdianaShow,f-8mhxoKmUo,Fairy Tale Rescue! Kids Inside a Magic Book,3 months ago,1383,12671873,False,,,False,False
https://www.youtube.com/@KidsdianaShow,5hGkNcumXlg,Kids Learn Kindness at Christmas - Holiday Stories Collection,3 months ago,1808,654767,False,,,False,False
https://www.youtube.com/@KidsdianaShow,_94l3R6NSVE,"BEST Kids Stories 2025 ⭐ Fun, Adventures & Learning",4 months ago,3972,4618328,False,,,False,False
https://www.youtube.com/@KidsdianaShow,3jHYlxTeJyI,CARDBOARD BANK Challenge,4 months ago,1255,6755084,False,,,False,False
https://www.youtube.com/@KidsdianaShow,7aGyUR5E6MA,Top Princess Stories for Kids 👑,4 months ago,1628,26295455,False,,,False,False
https://www.youtube.com/@KidsdianaShow,GL2NQ0LtnLc,Mom from the Box - Funny Family Story for Kids,4 months ago,1324,7185669,False,,,False,False
https://www.youtube.com/@KidsdianaShow,OpXQwt6IJ3c,Polar Bear Kindergarten – A Christmas Story for Kids,4 months ago,2078,3285501,False,,,False,False
https://www.youtube.com/@KidsdianaShow,gOHdyRV2aWw,Oliver and Friends Help Santa Pack Christmas Gifts,4 months ago,1497,2957547,False,,,False,False
https://www.youtube.com/@KidsdianaShow,awqQ3wGfbvg,Frozen Gifts - Kids Save Christmas with Kindness,4 months ago,1357,1201644,False,,,False,False
https://www.youtube.com/@KidsdianaShow,mDQpVSVN24w,Pet Rescue Adventure - Kids Help Lost Pets,4 months ago,1134,1467815,False,,,False,False
https://www.youtube.com/@KidsdianaShow,2bJHN9_EuPs,"Kids Playhouse Adventures with Oliver, Diana & Roma",4 months ago,3771,2945495,False,,,False,False
https://www.youtube.com/@KidsdianaShow,RMTYsmXHkTo,Oliver’s 5th Birthday! Thomas and Friends Party,4 months ago,1128,7063398,False,,,False,False
https://www.youtube.com/@KidsdianaShow,uQOJsxhuvms,Kids Learn to Turn Recyclables into Fun Toys,4 months ago,1346,3538291,False,,,False,False
https://www.youtube.com/@KidsdianaShow,6ze8uMSn4_E,Oliver’s Best Car Adventures 🚗 | Kids Compilation,4 months ago,1477,3530840,False,,,False,False
https://www.youtube.com/@KidsdianaShow,8i7zsSoDKJ4,Ice Princess vs Fire Princess Story,4 months ago,1113,51192740,False,,,False,False
