channel_id,title,description,custom_url,handle,country,joined_date,subscribers,total_videos,total_views,keywords,has_instagram,has_tiktok,has_twitter,has_facebook,cross_platform_count,badges,links_raw
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,"""Kids Diana Show"" is the top rated kids' YouTube channel starring Diana and Roma as they constantly engage in fun and crazy adventures. Since launching on YouTube in 2015, Kids Diana Show has attracted over 200+ million worldwide subscribers and 100+ billion views, while on average 10 billion monthly views on 20 channels and translated into 20 languages. Each episode is created with a creative mix of live performances, animation and music to create comedy videos for preschoolers.

E-mail: dianar",,,United States,2015-05-12,138000000,1613,123976006663,diana and roma|diana|roma and diana|kids diana show|kids video|love diana|toys|for kids|kids|cartoon|animation|мультики|cartoons|kids cartoons|cartoons for kids|kids videos|pretend play|children songs|baby songs|kids song|music video|song,True,True,False,True,3,VERIFIED_CHANNEL,"[{""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcSfLSwm05yS0BK4Kb28e-NTcQAsNLQfDCkRW2BwGzQ_4QLgT3HvRwy5O9kLRnUU-QhzvJantOSGhq8NOQp7EHd_WEvUNR6WW1Pp0THXuSRzNiJgToeoCA"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcRMnk5lytM1g9HJQSf7bM5Xfi4yFD5Vyri4jzLc1D4JUjmBYMab9mUK04YRfRwyHmDMutbz5OgS4cg_9Z2lEmyotPVb3TDyE7YkLlpC2ywK7bDnmpmQTRw"", ""width"": 256}], ""targetUrl"": ""https://www.instagram.com/kidsdianashow/"", ""title"": ""Instagram Diana""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcSfLSwm05yS0BK4Kb28e-NTcQAsNLQfDCkRW2BwGzQ_4QLgT3HvRwy5O9kLRnUU-QhzvJantOSGhq8NOQp7EHd_WEvUNR6WW1Pp0THXuSRzNiJgToeoCA"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcRMnk5lytM1g9HJQSf7bM5Xfi4yFD5Vyri4jzLc1D4JUjmBYMab9mUK04YRfRwyHmDMutbz5OgS4cg_9Z2lEmyotPVb3TDyE7YkLlpC2ywK7bDnmpmQTRw"", ""width"": 256}], ""targetUrl"": ""https://www.instagram.com/kidsromashow/"", ""title"": ""Instagram Roma""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcSxUwGjsJZApoUKonOfNzxpFkEMyf29jwvspkLH1CA-JP5Nx06tcApyuGcjdsPZWzHuoyTRot1jS2gOtE_pzWKSSaJg0t0MtrRw6u7ZcItl78fGxuhb"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcQj6tFbIEZH6KkBEISjsbAGeqJk0h4_TtuseJEKTDKFj7cLXn9N9V5qe-N5r9QRJS0QYLqPUe6U800spJjOLJCjn8qQE-tbQGPjTE2PNKmCkI_gtwN2Aw"", ""width"": 256}], ""targetUrl"": ""https://www.facebook.com/KidsDianaShowOfficial/"", ""title"": ""Facebook Diana""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcSxUwGjsJZApoUKonOfNzxpFkEMyf29jwvspkLH1CA-JP5Nx06tcApyuGcjdsPZWzHuoyTRot1jS2gOtE_pzWKSSaJg0t0MtrRw6u7ZcItl78fGxuhb"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcQj6tFbIEZH6KkBEISjsbAGeqJk0h4_TtuseJEKTDKFj7cLXn9N9V5qe-N5r9QRJS0QYLqPUe6U800spJjOLJCjn8qQE-tbQGPjTE2PNKmCkI_gtwN2Aw"", ""width"": 256}], ""targetUrl"": ""https://www.facebook.com/KidsRomaShow/"", ""title"": ""Facebook Roma""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcTil9qRPKod7VzAZX5hcljGOgNm_7OH9ctUPIWDk6tsvCGucVCNpU42I4k2ABNB9C3Dcv2DTXTaPLHtE7s4M5O0dzX4RrA-amgItDD5R5YT_fInOg"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcQKztzAFLM-Ht00NtZR3C_LPpwiMBXyfSbY3CevC9KOxibegrIjaqfvZtuasvcIjnxH9SHSWIC-D-hYkAagy33P_6rpJFiNR2iYp0UR5p99Y-NJcJ4"", ""width"": 256}], ""targetUrl"": ""https://www.tiktok.com/@kids.diana.show"", ""title"": ""TikTok Diana""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcTil9qRPKod7VzAZX5hcljGOgNm_7OH9ctUPIWDk6tsvCGucVCNpU42I4k2ABNB9C3Dcv2DTXTaPLHtE7s4M5O0dzX4RrA-amgItDD5R5YT_fInOg"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcQKztzAFLM-Ht00NtZR3C_LPpwiMBXyfSbY3CevC9KOxibegrIjaqfvZtuasvcIjnxH9SHSWIC-D-hYkAagy33P_6rpJFiNR2iYp0UR5p99Y-NJcJ4"", ""width"": 256}], ""targetUrl"": ""https://www.tiktok.com/@kids.roma.show"", ""title"": ""TikTok Roma""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn0.gstatic.com/favicon-tbn?q=tbn:ANd9GcRY4no9kYJtEAHXBEY2GDprV__HH1zc94olyS6G6fT5isS71bPyqvIi7-9VE1MMy3_3vsNOQLAerwcSQqGNyADWfxKpd2hLc8HuacZdgEjgZc_WLN8"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn0.gstatic.com/favicon-tbn?q=tbn:ANd9GcQeYEn7J_6R4HhkWWEfFuyPIN4Fz9EWNsVKCSiKtM6rSbZqKHYn0KuxjptJmIxZl7ita5EkI9cuETexUPlSl6brI8VE5jqAWA7srAcLl1QpcboEx_70"", ""width"": 256}], ""targetUrl"": ""https://www.youtube.com/c/KidsDianaShow/featured"", ""title"": ""YouTube Diana""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn0.gstatic.com/favicon-tbn?q=tbn:ANd9GcRY4no9kYJtEAHXBEY2GDprV__HH1zc94olyS6G6fT5isS71bPyqvIi7-9VE1MMy3_3vsNOQLAerwcSQqGNyADWfxKpd2hLc8HuacZdgEjgZc_WLN8"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn0.gstatic.com/favicon-tbn?q=tbn:ANd9GcQeYEn7J_6R4HhkWWEfFuyPIN4Fz9EWNsVKCSiKtM6rSbZqKHYn0KuxjptJmIxZl7ita5EkI9cuETexUPlSl6brI8VE5jqAWA7srAcLl1QpcboEx_70"", ""width"": 256}], ""targetUrl"": ""https://www.youtube.com/c/KidsRomaShow/featured"", ""title"": ""YouTube Roma""}]"
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,"“Vlad & Niki” is the global preschool phenomenon and highest rated kids channel on YouTube starring the imaginative personalities and antics of brothers Vlad and Niki, who are showcased in non-stop fun and crazy adventures. Since launching on YouTube in 2018, the “Vlad & Niki” has attracted more than 456+ million subscribers worldwide and 248+ billion views, while averaging five billion monthly views on 21 channels and translated into 18 languages. Each episode is produced with a creative mix of",,,United States,2018-04-23,149000000,1014,120673534346,kids|toys|play|fun|vlad|nikita,False,False,False,False,0,VERIFIED_CHANNEL,"[{""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn2.gstatic.com/favicon-tbn?q=tbn:ANd9GcST94moJaSkk5CDIH-BM2CU48gk0ww_6BifI7sElm1YSGl06abzZCYKg4m8W6ebqBS6RzL9_CtFLPri36kmc4Syo6Le35KJPdOgyyJeBFEbo4XCpA"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn2.gstatic.com/favicon-tbn?q=tbn:ANd9GcSPvyJ1mOpoU1qLoAjvKorZ8sralQjDuUnHDekHIWxqM2h4mj2xBAORWj4VzmyU9g2mH7xgU-k0mnFYd3uHEyIJJxqpxveVcx0WvsjhwDAZRHKewc4"", ""width"": 256}], ""targetUrl"": ""https://apps.apple.com/ru/app/vlad-niki/id1497525407"", ""title"": ""Vlad & Niki IOS""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn1.gstatic.com/favicon-tbn?q=tbn:ANd9GcTnKF-7jTMpHy7PGO624NRMqavA4rfGa8IWaaQM2ZJXjlH_MLgsmCuGIbER5bfK92f-MR1vUOMx1jdPLoW6xdt_7_DFjbPVmu8zyQ7Z9Fcv1i32KnQ"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn1.gstatic.com/favicon-tbn?q=tbn:ANd9GcRTT-I9EgGOFlqNDMTTwnLHsvWMGhUmk2fKpc200xsqCT4BHgBYg6CM60mwehdd5PfpsX0fxtnKOr1zcHmmXzmAOBjH3q1csmWMKem6ZEa9gynuCufS"", ""width"": 256}], ""targetUrl"": ""https://play.google.com/store/apps/details?id=me.apptivise.vladnikita"", ""title"": ""Vlad & Niki Android""}]"
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,"Welcome to Nastya's universe - where Nastya and her parents play, learn, sing, explore and share their life experiences. 

Millions of kids and families from all over the world join Nastya every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and much more.

Follow Like Nastya on Instagram - https://www.instagram.com/likenastya/
Follow Like Nastya on TikTok - https://www.tikto",,,United States,2016-12-06,132000000,1066,120416866570,nastya|toys|kids|like nastya|song|nastya and dad|kids video|настя|for kids|pretend play|children songs|baby songs|music video|nastya and papa|nastya show|cartoons,True,True,True,True,4,VERIFIED_CHANNEL,"[{""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn0.gstatic.com/favicon-tbn?q=tbn:ANd9GcRii4ep62KQLs3U18JSbWapmEiAnRM9YfrKJKEN2ListQFMYNwk93XNCZsphnDcBEdnE3bcvS6Mcl4iwFGDXSCBx3zFIA4tfh75VUEK-UTUtXvzjg"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn0.gstatic.com/favicon-tbn?q=tbn:ANd9GcRc2JDV-sRCjE6xta_u52M5q6hsekeXxOW10Ev3Pw_qY05staz3NrOeBWwXgLe95w2MAS411tZd-2_EDabsDwbcjNGMSdEr29-a2uQtdVr104oM1qA"", ""width"": 256}], ""targetUrl"": ""https://www.roblox.com/share?code=bd41d57cb289bd43a2b1d7118987a6bb&type=ExperienceAffiliate"", ""title"": ""Like Nastya Roblox Game""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn1.gstatic.com/favicon-tbn?q=tbn:ANd9GcSkD1Ep0ZHJIymG4wpWeQuWtVfTLtPHaPayBGMTtg3jU656Sqs21wPYb46GpZGgT-BpnFXJP7mZNGdgWvNJn6L-nEWbUUOTKI2pPvhdOmlpJ0aNaw"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn1.gstatic.com/favicon-tbn?q=tbn:ANd9GcS4b8GPWDbw6dYAY2fZVTvH9NQ7bOuq9FVeb7zAtuppzdcnh-kEkWCPQURuyCSg5EC7dXJbuql1OxjL-tHR9ljBJsanQxKNzaoTVGSpPQEkqix1q9E"", ""width"": 256}], ""targetUrl"": ""https://www.amazon.com/stores/page/22416710-2FB5-4673-862F-9A449CADE0B5"", ""title"": ""Amazon""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcSfLSwm05yS0BK4Kb28e-NTcQAsNLQfDCkRW2BwGzQ_4QLgT3HvRwy5O9kLRnUU-QhzvJantOSGhq8NOQp7EHd_WEvUNR6WW1Pp0THXuSRzNiJgToeoCA"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcRMnk5lytM1g9HJQSf7bM5Xfi4yFD5Vyri4jzLc1D4JUjmBYMab9mUK04YRfRwyHmDMutbz5OgS4cg_9Z2lEmyotPVb3TDyE7YkLlpC2ywK7bDnmpmQTRw"", ""width"": 256}], ""targetUrl"": ""https://www.instagram.com/likenastya/"", ""title"": ""INSTAGRAM""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcTil9qRPKod7VzAZX5hcljGOgNm_7OH9ctUPIWDk6tsvCGucVCNpU42I4k2ABNB9C3Dcv2DTXTaPLHtE7s4M5O0dzX4RrA-amgItDD5R5YT_fInOg"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcQKztzAFLM-Ht00NtZR3C_LPpwiMBXyfSbY3CevC9KOxibegrIjaqfvZtuasvcIjnxH9SHSWIC-D-hYkAagy33P_6rpJFiNR2iYp0UR5p99Y-NJcJ4"", ""width"": 256}], ""targetUrl"": ""https://www.tiktok.com/@likenastya"", ""title"": ""TikTok""}, {""icon"": [{""height"": 16, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcSxUwGjsJZApoUKonOfNzxpFkEMyf29jwvspkLH1CA-JP5Nx06tcApyuGcjdsPZWzHuoyTRot1jS2gOtE_pzWKSSaJg0t0MtrRw6u7ZcItl78fGxuhb"", ""width"": 16}, {""height"": 256, ""url"": ""https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcQj6tFbIEZH6KkBEISjsbAGeqJk0h4_TtuseJEKTDKFj7cLXn9N9V5qe-N5r9QRJS0QYLqPUe6U800spJjOLJCjn8qQE-tbQGPjTE2PNKmCkI_gtwN2Aw"", ""width"": 256}], ""targetUrl"": ""https://www.facebook.com/likenastya"", ""title"": ""Facebook""}]"
,,,,,,,0,0,0,,False,False,False,False,0,,[]
UCZvM__zKed0z2rJ7X9R3S8g,The Labrant Fãm,,,,,2020-10-05,19,3,189,,False,False,False,False,0,,[]
