id,title,view_count,duration,upload_date,like_count,comment_count,playlist_index,n_entries,drift_score,video_order,drift_rolling,is_viral,viral_ratio
0EbL4yiuhvQ,Real Food vs Chocolate Food Challenge,0,3603.0,,0,0,558,2992,-0.06778282,2434,-0.006006966065615416,False,0.0
YwrI4dhlBxM,Ryan Body Swap Challenge!,0,528.0,,0,0,557,2992,0.055496942,2435,-0.006102904584258795,False,0.0
eLeIaigXizU,Ryan plays Shuffleboard Challenge with Family!,0,389.0,,0,0,556,2992,-0.08421304,2436,-0.013413254078477621,False,0.0
paiAdokIE0s,Ryan visits Mark Rober's Crunch Labs!,0,858.0,,0,0,555,2992,0.040640883,2437,-0.017083355318754913,False,0.0
2Lg-5uN7qhY,Ryan's World VS Mark Rober! Who will win the series of challenges!?,0,608.0,,0,0,554,2992,0.02691405,2438,-0.01512516988441348,False,0.0
bOk1c7Hjk0o,Spin the Wheel Challenge and more 1 hour kids video!,0,3660.0,,0,0,553,2992,0.00044478476,2439,-0.017548712622374295,False,0.0
mQ4y0Y8DA9Y,A Big Announcement from Ryan!,0,56.0,,0,0,552,2992,0.0736544,2440,-0.006447610538452863,False,0.0
Lv82F9Qd0j8,We played with Slow Mo Camera at Mark Rober's Studio!,0,616.0,,0,0,551,2992,-0.016275238,2441,-0.0064362273551523685,False,0.0
RnFHV5kPWyk,Pirate Ryan rescues Giant Mystery Egg from the Shark!,0,470.0,,0,0,550,2992,0.10739198,2442,0.00583436107262969,False,0.0
PEWLTmQZSxQ,Ryan protects the office from bad Ninja!,0,652.0,,0,0,549,2992,0.15897906,2443,0.011595835257321597,False,0.0
SRvPHHJCio8,The Making of Ryan's World Ninja Movie BTS,0,559.0,,0,0,548,2992,0.048419207,2444,0.013042530696839093,False,0.0
sp_C13v0HoA,Don't Pick the Wrong Answer Challenge!,0,4237.0,,0,0,547,2992,0.024243552,2445,0.01642925525084138,False,0.0
ReELE8272Rc,What to do if you're lost???,0,487.0,,0,0,546,2992,0.1292242,2446,0.016025991085916756,False,0.0
oS6vk5L9tEI,Ryan plays Don't Press the Wrong Button Challenge!,0,670.0,,0,0,545,2992,0.104305804,2447,0.02228976720944047,False,0.0
wdrF_iTcpVk,Ryan pretend play construction with Daddy One hour kids video!,0,3807.0,,0,0,544,2992,0.10076432,2448,0.035748133156448605,False,0.0
wSJnCpYjkDE,Ryan and Daddy’s The Legend of Zelda: Tears of the Kingdom Adventure,0,893.0,,0,0,543,2992,-0.045054898,2449,0.030631149653345346,False,0.0
Gdcfh_4iXPE,Mermaid Queen stole Ryan's World Treasure Chest!,0,447.0,,0,0,542,2992,0.15422487,2450,0.04083186285570264,False,0.0
ETyUL3lZ3K4,Pirate Ryan found Treasure on a mystery Island!,0,373.0,,0,0,541,2992,0.04856285,2451,0.040693700592964885,False,0.0
3O7zJhOCHwc,Ryan's World Learns to exercise like a real Pirate!,0,567.0,,0,0,540,2992,0.0015750555,2452,0.0410235193092376,False,0.0
ithFX8c1fL8,Hot vs Cold Challenge Ryan against the ice queen 1 hr kids show,0,3552.0,,0,0,539,2992,0.044360634,2453,0.045293829822912815,False,0.0
fDmQpP3I2HE,Can you find where is Ryan Challenge??,0,653.0,,0,0,538,2992,-0.01858973,2454,0.04775348431430757,False,0.0
Zbmnfane1JY,Pirate vs Ninja Challenge Halloween Edition!,0,523.0,,0,0,537,2992,0.002375979,2455,0.04509743615053594,False,0.0
gN0etmhmHjU,Big Announcement! All 30 episodes of Elemon series are available on Kidoodle Now!,0,58.0,,0,0,536,2992,0.033715677,2456,0.05099387201480567,False,0.0
47Y-1lJKRJ0,Pirate Ryan saved by Emma and Kate and found Surprise Treasure!,0,1073.0,,0,0,535,2992,0.042599246,2457,0.05109179015271366,False,0.0
loHQV0T7Jzg,Guess the Animal without fur Challenge | Ryan's World,0,583.0,,0,0,534,2992,0.05603473,2458,0.052547824056819084,False,0.0
d7VqbDwPZDQ,Halloween Pancake Art Challenge with Ryan's World,0,3621.0,,0,0,533,2992,-0.13655281,2459,0.045697944285348055,False,0.0
jQs4BPpbTqk,Ryan's World Ninja Adventures Animation Ep3,0,708.0,,0,0,532,2992,-0.011944825,2460,0.04141798312775791,False,0.0
fB8xXS4xeMI,Choose one Button- YES or NO Challenge,0,590.0,,0,0,531,2992,0.045429464,2461,0.044503218261525035,False,0.0
3F8z8mUuTO8,Halloween Baking Soda and Vinegar Science Experiment with Ryan's World!,0,218.0,,0,0,530,2992,-0.01797729,2462,0.03823475460521877,False,0.0
ajS_v_LNK4E,Giant Halloween Haunted Bounce House Challenge Learn Elasticity!,0,715.0,,0,0,529,2992,-0.019402945,2463,0.02931565442122519,False,0.0
op2kpJHOGKU,Ryan's Halloween Haunted Bounce House Challenge,0,452.0,,0,0,528,2992,0.027642079,2464,0.02827679798938334,False,0.0
bJznR80ARg4,Ryan's Halloween Trick or Treat in the Haunted House Box Fort!,0,4052.0,,0,0,527,2992,0.049078606,2465,0.029518550680950283,False,0.0
SA-0tkEbOBw,Don't Cut the Wrong String Challenge - Ryan's World edition!,0,979.0,,0,0,526,2992,0.05576897,2466,0.025845789397135378,False,0.0
33B3fWeJ_6A,Ryan's biggest Giant Pumpkin in the World Challenge,0,510.0,,0,0,525,2992,0.07365643,2467,0.024313320824876427,False,0.0
N3ouoYucxvk,An Elemon is Born 💧| Elemon: An Animated Adventure Series – Episode 1,0,660.0,,0,0,524,2992,-0.06866199,2468,0.01584200547076762,False,0.0
RZ-S-XrFsVI,Ryan's Pirate vs Ninja Challenge!,0,1023.0,,0,0,523,2992,0.03721236,2469,0.01995536838658154,False,0.0
ixCiuAIc4fQ,This Transformers  Optimus Prime transforms by Itself! Ryan's World,0,832.0,,0,0,522,2992,0.12602314,2470,0.018545281933620573,False,0.0
KqPICCOrnfQ,What's in the Box Challenge with Ryan's World!,0,3748.0,,0,0,521,2992,-0.019760337,2471,0.015129122557118535,False,0.0
w7xHiqYmkh8,Learn how to make Glass Blowing Pumpkin with Ryan's World!,0,859.0,,0,0,520,2992,0.00010543084,2472,0.015055641322396696,False,0.0
DmVKx_JYql0,We made the BIGGEST Mystery Pirate Egg!,0,828.0,,0,0,519,2992,0.062263835,2473,0.015950801386497914,False,0.0
_Ph2M3eQjfA,Pirate Ryan found treasure at the Mermaids Liar!,0,701.0,,0,0,518,2992,0.12799193,2474,0.023279884341172875,False,0.0
