id,title,view_count,duration,upload_date,like_count,comment_count,playlist_index,n_entries,drift_score,video_order,drift_rolling,is_viral,viral_ratio
-lAS6jsk8QI,"Chinese Rice Noodles: Guilin Noodles in Yangshuo, China 桂林米粉",192435,111.0,,0,0,1478,1553,-0.053390324,75,-0.10234748208895325,False,0.15344702614902866
ylW94Ff_S0g,Stinky Tofu - Eating Smelly Tofu in China!,124706,70.0,,0,0,1477,1553,0.062229615,76,-0.09477221323177218,False,0.09944014780544479
hwWIe6yLhM4,Chinese Street Food Vendor - Tasty Spicy Hot Pot!,249875,166.0,,0,0,1476,1553,-0.01586719,77,-0.08747856132686138,False,0.19924949026418548
k0Ksq9QtPUw,Kottu Roti - Delicious Sri Lankan Street Food!,172499,73.0,,0,0,1475,1553,-0.071295075,78,-0.08882213905453681,False,0.1375501263475007
oCM8GUc3aTo,"Rong Kluea Market (ตลาดโรงเกลือ) - Aranyaprathet, Thailand",33372,112.0,,0,0,1474,1553,-0.101345465,79,-0.08906168192625045,False,0.026610721317044114
fNZALmCzimA,"Things To Do in Colombo City, Sri Lanka - Travel Video",1207897,311.0,,0,0,1473,1553,-0.1428711,80,-0.0881387673318386,False,0.9631730326828969
2GpLzIbKAo4,How to Eat With Your Hands (Sri Lankan Rice and Curry),282689,108.0,,0,0,1472,1553,-0.13624647,81,-0.08679024130105972,False,0.22541526424529196
ulyt-1YR7rk,"Jaffna Town: Travel Video of Northern Tamil, Sri Lanka (யாழ்ப்பாணம்)",1064695,392.0,,0,0,1471,1553,-0.07136139,82,-0.0852124847471714,False,0.8489842362654406
79WpEo0INuk,Thai Khanom Jeen Rice Noodles and Curry on the streets of Bangkok,151213,167.0,,0,0,1470,1553,-0.040836036,83,-0.08202632814645767,False,0.12057674105580102
EICO7VDDC0U,New Years Eve 2012 in Bangkok (Fireworks Central World) สวัสดีปีใหม่ 2555,22103,78.0,,0,0,1469,1553,-0.09308306,84,-0.08142350278794766,False,0.017624858362418377
qf0aDiBR0WU,Malaysian Street Food Tour in Kuala Lumpur,1289484,327.0,,0,0,1468,1553,-0.17357779,85,-0.08494170047342778,False,1.028230233932258
KtUN2Zi6f08,"Pilgrimage to Nainativu Island and Nagadeepa Purana Viharaya, Sri Lanka",33669,153.0,,0,0,1467,1553,-0.16399899,86,-0.09447429161518812,False,0.026847548124881885
TpuEfrHeNGI,Thai Street Food Menu in Bangkok (Eating Thai Food Guide) อาหารอีสาน,541180,203.0,,0,0,1466,1553,-0.15051204,87,-0.0957088751718402,False,0.431535124126751
XdHIwR5fIYQ,Eating a Wood Apple: Delicious Fruit with a Funky Smell!,297419,167.0,,0,0,1465,1553,0.08933294,88,-0.08517969008535146,False,0.23716091703805417
