dimension,n_channels,mean_within_boost,median_within_boost,t_stat,p_value
performative,42,362.9204784421531,49.14423910086061,1.3895311592448671,0.17217145262587522
emotional_bait,45,54.620068356333505,37.917012448132766,3.37880172344877,0.001533736775485101
narrative_conflict,40,78.39983974828228,30.883049037972597,2.8486002277670575,0.006975147481450259
challenge_format,31,36.984657782105074,18.066577526177774,2.0979074138029588,0.044440456009976474
commercial_content,17,24.74731333755991,-17.343394478787022,0.7607420131133978,0.45787665920631093
