lf_name,weight,category
lf_challenge_keywords,1.0,Rule
lf_llm_challenge,1.0,LLM
lf_prank_keywords,0.94949761429969,Rule
lf_llm_performative,0.7304573059082031,LLM
lf_llm_narrative_conflict,0.7028436922417882,LLM
lf_organic_keywords,0.6748903109282962,Rule
lf_cv_high_saturation,0.5853353521993591,CV/Vision
lf_urgency_words,0.5724508808624282,Rule
lf_exclamation_marks,0.5577815883329272,Rule
lf_all_caps_ratio,0.4725239735925592,Rule
lf_cv_child_distress,0.4472722316474092,CV/Vision
lf_roleplay_keywords,0.44713402787051976,Rule
lf_llm_commercial,0.4424365890128164,LLM
lf_conflict_keywords,0.4227524134718588,Rule
lf_cv_vision_exploit,0.4137528966965051,CV/Vision
lf_emotional_keywords,0.40656245609122715,Rule
lf_llm_emotional_bait,0.38087504990036447,LLM
lf_llm_privacy,0.34173302772093544,LLM
