channel_short_name,0,1,2,3,4,5,6
acefamily,5.46984572230014,1.9635343618513323,90.18232819074333,0.0,1.1220196353436185,0.8415147265077139,0.42075736325385693
andrewdavila,0.0,0.0,0.0,0.0,0.0,0.0,100.0
bonniehoellein,0.3672420124862284,6.500183621006244,27.653323540212998,2.093279471171502,1.6158648549394052,1.432243848696291,60.33786265148733
bratayley,1.4154552410099464,3.098699311400153,0.22953328232593728,0.03825554705432287,1.4919663351185921,0.9563886763580718,92.76970160673298
brentrivera,3.2805429864253397,16.063348416289593,35.40723981900452,0.904977375565611,0.3393665158371041,0.0,44.004524886877824
cocomelon,0.2521432173474533,65.9102370146243,1.8658598083711546,22.239031770045386,1.4624306606152295,0.05042864346949068,8.21986888552698
dailybumps,1.7851346965271015,4.965920155793573,69.1333982473223,0.09737098344693282,1.6877637130801686,1.1359948068808827,21.194417396949042
ehbee,1.565217391304348,3.739130434782609,72.52173913043478,1.1304347826086958,0.26086956521739135,0.43478260869565216,20.347826086956523
everleighrose,1.8867924528301887,37.10691823899371,53.459119496855344,0.0,0.0,1.257861635220126,6.289308176100629
familyfizz,0.6863417982155113,17.9821551132464,46.32807137954701,4.667124227865477,1.7844886753603295,4.25531914893617,24.296499656829102
familyfunpack,0.8123005512039455,18.5378590078329,17.029300841311283,7.86190890629533,1.450536698578474,2.5819553234696837,51.726138671308384
itsyeboi,8.517887563884157,29.81260647359455,40.88586030664395,0.0,0.0,9.710391822827939,11.073253833049405
jordanmatter,4.378283712784588,38.353765323992995,29.597197898423815,7.355516637478108,0.7005253940455342,0.3502626970227671,19.264448336252187
kkandbabyj,1.4925373134328357,9.253731343283581,31.982942430703627,0.4690831556503198,2.6865671641791042,2.0042643923240937,52.11087420042644
labrantfam,0.0,0.0,66.66666666666666,0.0,0.0,0.0,33.33333333333333
piersonwodzynski,0.9146341463414633,3.50609756097561,76.82926829268293,0.3048780487804878,0.6097560975609756,0.0,17.835365853658537
piperrockelle,10.17156862745098,35.294117647058826,22.30392156862745,18.504901960784316,1.2254901960784315,0.7352941176470588,11.76470588235294
rebeccazamolo,3.6752136752136755,43.162393162393165,23.760683760683758,0.0,0.5982905982905984,0.7692307692307693,28.034188034188034
ryansworld,2.116689280868385,54.54545454545454,12.130257801899592,1.0854816824966078,0.3256445047489823,7.652645861601086,22.143826322930803
tannerites,2.62597586941093,19.233498935415188,59.82966643009227,0.28388928317955997,1.98722498225692,1.34847409510291,14.691270404542228
theleray,0.8438818565400843,26.951476793248947,23.20675105485232,10.70675105485232,1.1075949367088607,1.8459915611814346,35.33755274261603
thesacconejolys,1.0869565217391304,0.8415147265077139,85.90462833099579,0.0,1.6479663394109396,0.1753155680224404,10.343618513323984
thesuperherobuddy,2.1596699830138317,71.14777966512982,1.2132977432661975,0.5823829167677749,0.9221062848823101,16.937636495996117,7.037126910943946
theweisslife,1.54015401540154,3.850385038503851,44.44444444444444,32.893289328932894,4.07040704070407,7.15071507150715,6.050605060506051
vladandniki,0.591715976331361,50.4930966469428,0.4930966469428008,0.9861932938856016,0.591715976331361,0.4930966469428008,46.35108481262327
