video_id,num_faces,num_smiles,smile_ratio,saturation,brightness,color_std,red_ratio,yellow_ratio,edge_density,face_area_ratio
8ZcvSpaJq7Y,1,1,1.0,89.3,162.6,64.7,0.1837,0.0455,0.0103,0.1932
YGOVM2mHFdc,0,0,0,107.4,98.5,58.5,0.035,0.0181,0.0202,0
MpsYvXCguSU,0,0,0,57.8,163.1,62.3,0.094,0.0076,0.0353,0
17ILDiFwG28,1,1,1.0,58.1,128.8,80.6,0.0041,0.0174,0.0334,0.1978
4LQriHW4bTw,2,1,0.5,55.2,126.8,66.6,0.0062,0.0005,0.0152,0.1708
3YKx2MvLgXw,1,0,0.0,78.3,163.2,73.9,0.1067,0.0047,0.0264,0.0502
HBRDbrVTZdg,3,1,0.333,52.2,154.0,67.0,0.0725,0.0176,0.0394,0.0667
A-QkKraNM2Q,1,0,0.0,99.0,159.1,89.0,0.3703,0.0014,0.0297,0.01
tcKW9Bb-pTQ,2,1,0.5,76.0,107.8,71.3,0.034,0.0279,0.0127,0.1342
f-llqtsHIsc,1,0,0.0,108.0,135.8,67.7,0.2894,0.0003,0.0191,0.0013
WtRjnWDf1LI,1,0,0.0,120.0,53.3,67.7,0.2989,0.0059,0.0296,0.0046
QNkoiHtS8nU,5,0,0.0,43.2,173.8,64.7,0.0786,0.0162,0.042,0.0264
dL-SbE8ZZ8I,2,1,0.5,58.1,113.4,62.7,0.0568,0.079,0.0301,0.2806
vls0l7DhkF4,2,0,0.0,88.3,202.5,50.6,0.2526,0.0408,0.0276,0.0215
KyZEVrNf0UY,1,0,0.0,209.7,92.4,60.9,0.087,0.5831,0.0079,0.0046
6TsPrCOCnkY,1,0,0.0,54.9,163.1,79.5,0.0456,0.0261,0.0528,0.0044
7HgN6RanSAM,0,0,0,94.1,109.5,74.3,0.0859,0.1042,0.0564,0
6vmWw0NlmK0,1,0,0.0,47.3,134.0,82.4,0.0507,0.072,0.0258,0.0154
60AFYb3Rhyg,1,0,0.0,48.8,139.8,68.9,0.0009,0.0002,0.0152,0.0201
LERBoLHMq04,1,1,1.0,59.9,134.0,76.3,0.0016,0.0296,0.0332,0.054
DxApaesUFxo,3,0,0.0,98.3,141.5,69.1,0.058,0.2099,0.0893,0.0825
ZylCVd0Loxg,1,0,0.0,85.2,76.6,61.5,0.2772,0.0036,0.0684,0.0663
qSwSfUmFp3k,4,0,0.0,83.4,133.3,75.8,0.0053,0.0735,0.158,0.016
HcQsHrRQRtU,3,0,0.0,28.1,88.2,88.9,0.0008,0.0003,0.0352,0.0705
5hx_53fOJrs,2,0,0.0,54.6,134.1,76.6,0.0699,0.0015,0.0348,0.0471
_Q-W0GjlZoA,3,0,0.0,56.9,106.3,58.7,0.0528,0.0155,0.0225,0.0426
B_aa5VokVXA,0,0,0,94.6,80.5,65.1,0.1216,0.0371,0.117,0
pmlvfBBklBw,1,0,0.0,120.5,116.1,66.2,0.6462,0.0,0.0172,0.0088
B7LYcwN9RXE,1,0,0.0,94.2,121.5,81.8,0.2957,0.0203,0.0235,0.0213
O5hptG47iO8,1,1,1.0,127.7,117.7,71.8,0.3269,0.0007,0.0152,0.2531
c5KNAXBhvtc,2,1,0.5,96.0,156.6,79.3,0.2103,0.0869,0.0432,0.3097
RGcs7zVH5U4,1,0,0.0,82.3,110.9,71.2,0.0444,0.1856,0.0936,0.0765
xODCXlojGwc,2,0,0.0,79.7,107.3,72.6,0.1012,0.0278,0.0251,0.0385
LuxFXcvPp2w,0,0,0,100.5,100.6,43.5,0.3389,0.0008,0.012,0
NrxceDr-Oig,0,0,0,52.4,104.2,78.5,0.0267,0.0186,0.1527,0
k21xL8UMKFU,1,0,0.0,79.3,128.0,72.3,0.2326,0.0133,0.0463,0.0056
QgMCO2Z9ISE,4,3,0.75,86.8,126.5,72.5,0.0363,0.1327,0.018,0.525
SyPFepqAycM,1,0,0.0,68.0,128.0,58.8,0.003,0.002,0.0729,0.0181
Nz0BdSwBCNY,2,0,0.0,102.6,128.5,71.4,0.25,0.0,0.0181,0.1236
RyjFIGmgyjg,0,0,0,98.3,99.3,73.1,0.0996,0.2315,0.0254,0
ODMzxpnHB3U,3,0,0.0,77.9,76.8,57.3,0.1273,0.0543,0.0337,0.0297
-nF12qPMaaw,2,0,0.0,185.6,205.9,91.7,0.2384,0.0101,0.0658,0.0891
SkJvBXKdf8o,4,0,0.0,134.0,71.5,50.9,0.4896,0.0047,0.0237,0.2111
Eo_gRBNrW_8,1,0,0.0,89.7,182.8,87.8,0.1153,0.0709,0.0515,0.0052
7upvrvwMduY,3,0,0.0,116.2,110.4,78.6,0.0061,0.0031,0.0978,0.028
-Vi3eP8_yaY,2,0,0.0,103.0,137.7,68.3,0.1747,0.0341,0.1009,0.0085
bED4x7jl8JI,2,1,0.5,109.5,202.3,70.7,0.2259,0.0241,0.0369,0.1051
-cQs6_9xdBQ,1,0,0.0,108.4,224.2,66.0,0.0411,0.0123,0.059,0.0231
G0vdSLAeOYc,2,0,0.0,52.2,79.9,60.3,0.0195,0.0493,0.0207,0.0127
wquIgyUjrZo,2,0,0.0,71.6,97.8,69.4,0.1425,0.0053,0.0771,0.036
9_S6EDJtkdI,4,1,0.25,44.6,165.0,54.1,0.0362,0.0012,0.0189,0.2895
iWkpM_EnAvk,1,0,0.0,103.6,184.2,69.0,0.284,0.0921,0.0244,0.0845
GhdR_mcMFQs,2,0,0.0,94.7,81.0,57.3,0.4033,0.0025,0.0219,0.0234
dcD_VAykrkw,0,0,0,53.5,73.3,56.9,0.0227,0.0036,0.0162,0
uPZtcdaZO_E,3,0,0.0,79.5,187.7,80.0,0.0579,0.002,0.0732,0.0161
ce1SrpT59L0,1,0,0.0,97.6,61.7,59.1,0.0164,0.0303,0.0138,0.0077
B6RLoLRm4uA,3,0,0.0,109.2,192.2,82.1,0.1722,0.0091,0.0402,0.2107
Qo6m8KIy1-c,1,1,1.0,94.8,77.4,55.3,0.3016,0.0134,0.0182,0.0421
9AsCJzMXh3Q,2,0,0.0,76.8,188.6,91.7,0.0878,0.0058,0.0299,0.0659
b0RBWMgazYU,5,2,0.4,85.9,175.2,73.9,0.1058,0.0062,0.0605,0.2384
AXZcCNc7ffk,3,0,0.0,44.4,188.3,51.1,0.0358,0.0279,0.0191,0.0761
cDJ2XYK2LBo,2,0,0.0,60.8,172.8,80.3,0.0195,0.0043,0.0604,0.0411
tfgeyLiY55A,1,0,0.0,91.8,71.1,53.1,0.0819,0.0133,0.0503,0.0053
Jsdoa1DlM7o,3,0,0.0,114.5,171.0,76.2,0.2144,0.0168,0.0486,0.0814
_pBD87M7pg4,2,1,0.5,86.9,184.4,63.7,0.0827,0.057,0.0979,0.0908
xN4WNi3xcGw,0,0,0,120.1,88.7,58.6,0.008,0.3967,0.0534,0
I-kyGxahgho,5,0,0.0,84.4,189.8,74.3,0.2057,0.0059,0.0635,0.0774
xvz0w6ofxBQ,4,0,0.0,67.8,164.4,73.7,0.0675,0.0153,0.0372,0.0702
YEPYuwwcu2A,0,0,0,103.4,61.0,56.0,0.0286,0.0348,0.0193,0
9kFnqF3s6to,2,0,0.0,114.6,46.2,52.4,0.0379,0.0235,0.0218,0.0048
GFnzbfB--dw,2,0,0.0,74.3,121.6,81.2,0.1016,0.0106,0.0305,0.0622
nhxyOm6JkGo,3,0,0.0,75.1,70.5,52.8,0.0627,0.0546,0.0205,0.025
8odoPmaNZUY,2,0,0.0,67.0,66.1,56.0,0.0395,0.0151,0.0221,0.0103
FovXJf83Nj8,2,0,0.0,65.1,165.0,81.0,0.0434,0.0144,0.0508,0.0805
i9QonsVeFxg,1,0,0.0,35.2,77.6,69.7,0.0101,0.0101,0.0208,0.0059
PlJXXDNijpI,4,0,0.0,74.6,140.1,74.1,0.0903,0.015,0.0536,0.0835
LWppaJo2oDg,3,0,0.0,54.9,175.2,71.7,0.0757,0.0046,0.064,0.0249
uqsAtKs03O8,3,0,0.0,91.8,81.0,72.1,0.1225,0.0044,0.0151,0.0177
awgGSL0MfEk,1,0,0.0,133.8,94.6,58.0,0.0606,0.0023,0.0256,0.003
n2Jyfr7mvV0,1,0,0.0,82.7,64.6,48.2,0.1904,0.0118,0.0178,0.0216
6E7nxP3iD4c,4,0,0.0,77.5,195.9,81.1,0.1972,0.0192,0.097,0.088
X6cdhaZdVkE,6,0,0.0,131.0,84.0,46.4,0.4526,0.0791,0.0246,0.0696
7bJR-kjBK0U,0,0,0,55.4,83.1,50.3,0.0367,0.009,0.0152,0
GoE1ZdDi7CE,2,0,0.0,67.0,182.4,89.8,0.1023,0.0137,0.039,0.0689
vCCNymSCacA,2,0,0.0,67.0,75.7,68.7,0.0714,0.0046,0.0235,0.0242
_NKsy8LzzLk,1,0,0.0,129.3,202.4,72.8,0.202,0.0052,0.0504,0.0042
BH440mnes_g,0,0,0,103.2,40.8,35.4,0.0598,0.38,0.0129,0
S3benV-TojY,4,0,0.0,69.6,160.8,72.1,0.0709,0.037,0.0318,0.0792
feRWlvv0Cas,0,0,0,42.5,88.1,66.3,0.0304,0.0102,0.0346,0
_ezmceSGPew,3,0,0.0,118.0,179.0,89.0,0.1779,0.0747,0.0477,0.0163
q1S0g4Tr5-s,1,0,0.0,106.1,98.6,77.8,0.0808,0.1891,0.133,0.059
vab2QOHSukU,0,0,0,56.6,143.4,76.9,0.0528,0.0137,0.0231,0
SJGbxtSBJc0,1,0,0.0,49.3,72.2,61.7,0.0221,0.0748,0.0107,0.0078
ANTD0WdKEDI,2,0,0.0,89.8,147.0,52.2,0.0935,0.0037,0.0062,0.0142
0S0yZhQ6SNY,0,0,0,94.3,125.4,55.3,0.2554,0.0256,0.0091,0
t5e33AyELNA,3,1,0.333,93.9,127.4,66.0,0.1417,0.0549,0.1607,0.1615
nNEH1pWO504,6,0,0.0,91.0,166.3,61.7,0.0706,0.0035,0.054,0.0483
n_Y7ODvSWv4,3,1,0.333,69.4,189.9,74.8,0.176,0.0143,0.0728,0.2867
bHtt1P7ah8k,1,0,0.0,98.5,136.2,61.3,0.1612,0.0704,0.0789,0.004
zU4AbKnLX5g,0,0,0,68.6,169.1,60.9,0.0056,0.0066,0.0528,0
S1xRkInDbk8,1,0,0.0,88.2,147.2,53.6,0.0842,0.0001,0.0179,0.1314
gmKFDy7N80M,3,0,0.0,73.1,166.9,77.2,0.1616,0.01,0.0578,0.0512
n-o8IuzsP5I,1,0,0.0,51.2,155.1,65.0,0.0023,0.0032,0.1142,0.0146
afqWhKDXSWI,2,0,0.0,84.1,170.3,56.5,0.2008,0.0013,0.0418,0.1756
OeMTAKrR1xc,5,0,0.0,91.8,153.5,61.6,0.1527,0.0445,0.079,0.0759
okMwAFpkI3A,3,0,0.0,71.7,154.3,62.2,0.0414,0.023,0.0665,0.0833
fqxA7pXpx8g,2,1,0.5,107.4,166.9,73.7,0.1409,0.1335,0.0509,0.228
TRvbHo6woD4,5,0,0.0,123.6,174.0,81.5,0.2283,0.1415,0.0628,0.2316
HCKEIFN5OCY,0,0,0,68.3,158.6,60.8,0.084,0.0045,0.0265,0
vJ7mszZiKKI,5,1,0.2,65.8,200.6,63.1,0.0443,0.0606,0.0987,0.0345
QxbX0vrh9RA,2,1,0.5,121.1,146.1,67.6,0.2037,0.0768,0.1085,0.2348
8veIc6W-lbk,0,0,0,95.7,153.6,59.7,0.1395,0.0234,0.0077,0
kNNba_Zjne4,0,0,0,120.2,208.1,77.1,0.175,0.0347,0.0769,0
eW-eQK3mzCg,1,1,1.0,89.6,139.0,68.2,0.1553,0.0416,0.045,0.1104
2Bqz8FgZFQk,0,0,0,62.9,180.4,67.1,0.0838,0.0391,0.0525,0
-FuALbShAag,2,1,0.5,138.7,162.2,71.1,0.1378,0.2845,0.0891,0.0606
gih0xq_mNoA,1,1,1.0,79.7,138.6,76.8,0.0579,0.0785,0.0348,0.2377
V3bawn5jXQc,1,0,0.0,115.6,194.6,79.1,0.1237,0.0118,0.0351,0.0034
gYo3SSEjOfw,8,0,0.0,102.5,195.9,78.8,0.1943,0.0806,0.0526,0.2033
53fzCoKOMa0,1,0,0.0,86.5,177.0,64.2,0.0989,0.0526,0.0688,0.1383
8StkE0Dq-UY,8,1,0.125,75.8,147.3,66.9,0.0653,0.0088,0.0561,0.1373
rSPLniKSHcA,1,0,0.0,61.6,165.2,79.9,0.1711,0.0092,0.031,0.0049
rIoMDDmn4tU,0,0,0,50.6,148.6,91.1,0.0959,0.0011,0.0578,0
bhFAt0su118,3,0,0.0,162.7,209.7,88.9,0.0431,0.3564,0.0506,0.0912
4PQ_WMZPLW8,2,1,0.5,95.9,74.3,61.1,0.2105,0.0006,0.0245,0.076
cBV2MSa-kgk,0,0,0,82.6,150.4,42.8,0.2151,0.0182,0.016,0
eAcpzYN6onM,1,0,0.0,106.3,74.6,68.7,0.0164,0.3549,0.0446,0.0038
idkK0AOlwTk,2,0,0.0,81.9,155.0,79.0,0.1316,0.0198,0.0712,0.0494
sIIV8odcmqY,1,0,0.0,93.0,161.3,67.4,0.2819,0.0013,0.0196,0.1754
Dyo6MB06KVc,0,0,0,97.9,187.6,76.5,0.0976,0.2424,0.0544,0
NuMFAiqeYUU,2,0,0.0,183.4,177.2,77.0,0.0135,0.7576,0.0159,0.127
DqcmQDPfaTE,6,0,0.0,138.5,149.5,70.4,0.2227,0.1929,0.1065,0.0715
tThTNeP--QA,1,0,0.0,94.4,144.7,82.9,0.138,0.1056,0.23,0.0088
0PMszwiARBg,5,0,0.0,169.5,153.4,74.8,0.1791,0.3087,0.0634,0.019
iwBRwtqXpdE,1,0,0.0,122.6,173.5,78.1,0.2124,0.0936,0.0913,0.0023
pbYnb1_2yHE,0,0,0,97.0,104.9,41.5,0.0003,0.0002,0.0066,0
ApHCFFMXT48,0,0,0,55.7,183.3,57.7,0.0243,0.0,0.0032,0
KkbtPkVVuPE,0,0,0,47.3,142.8,50.5,0.0322,0.0489,0.0236,0
oTKCma0aHvM,3,0,0.0,57.5,91.7,60.0,0.1047,0.0008,0.0524,0.0381
ATZX16KjxbI,1,0,0.0,59.1,181.6,80.9,0.0061,0.0054,0.0904,0.0869
QW-G28BhjXI,3,0,0.0,50.1,68.7,58.7,0.0698,0.0134,0.0185,0.0156
07Pcgi6xT9E,1,1,1.0,86.3,149.4,69.2,0.1075,0.0296,0.0129,0.1146
AGM22meW2Z0,2,0,0.0,117.8,169.2,88.1,0.0498,0.1327,0.0845,0.2231
ptKIYFgDCfw,3,0,0.0,81.3,129.3,74.3,0.0365,0.0798,0.1728,0.0393
Wk9BwBRwAJk,4,2,0.5,148.3,123.4,73.4,0.174,0.3176,0.0243,0.0939
yQtEJ3hqnv4,0,0,0,48.9,126.0,64.1,0.0668,0.0037,0.1305,0
I1SMMdAooj8,2,1,0.5,116.5,192.1,82.0,0.0452,0.2658,0.0838,0.4285
IA9LkSl-kFk,7,1,0.143,159.1,147.1,86.6,0.0981,0.1664,0.0571,0.1258
XujSr5VVmzY,1,1,1.0,88.8,57.3,60.4,0.3352,0.0768,0.0136,0.0779
qxIPXibZxWQ,6,2,0.333,118.8,154.8,72.5,0.114,0.0408,0.049,0.2391
3jmUiNVOvzo,8,1,0.125,97.2,117.3,68.9,0.2113,0.0179,0.0429,0.2258
EGsAo4tljaM,2,0,0.0,48.7,161.5,58.9,0.0219,0.0068,0.0635,0.0963
yRtg422gHHM,0,0,0,86.7,134.5,89.8,0.185,0.1222,0.1029,0
GM038ihfr3A,3,0,0.0,94.8,59.3,52.6,0.1962,0.0692,0.0255,0.1351
v6K-LgcyEl4,1,0,0.0,100.7,184.5,88.5,0.0003,0.0,0.0216,0.0094
Wb8mu9GT33Y,3,1,0.333,82.0,169.8,82.4,0.1456,0.024,0.0511,0.1394
NdRULNAxuao,2,0,0.0,77.4,160.9,91.6,0.005,0.0267,0.0674,0.0085
43elTNKlVdM,1,1,1.0,87.3,192.8,76.1,0.1284,0.0251,0.0044,0.4798
Zs5Tq3o8I1k,4,0,0.0,63.6,153.2,58.3,0.1606,0.0004,0.0297,0.1121
FzyJQIheCTw,0,0,0,28.3,82.0,61.2,0.0033,0.0056,0.0491,0
rnKzGBwoVV8,2,1,0.5,68.2,140.6,67.2,0.1141,0.0243,0.0151,0.1448
ZzlSkyII3uM,3,1,0.333,143.8,182.4,84.4,0.3016,0.1199,0.0892,0.1445
DbqWY60KjBo,1,0,0.0,80.4,62.2,55.8,0.1208,0.0019,0.0255,0.0037
ILLDClEY5sc,2,1,0.5,54.4,164.3,85.9,0.1082,0.0056,0.0461,0.0823
zAsPFQzA2qo,1,0,0.0,101.7,200.8,84.1,0.0407,0.1629,0.0483,0.0809
rwAxvdQO_Y4,2,1,0.5,93.9,184.4,66.4,0.0991,0.0414,0.057,0.1211
_D2Mr6HIO5c,6,2,0.333,74.6,144.5,68.9,0.0065,0.0099,0.0934,0.2115
bndiXyksmTM,0,0,0,74.7,206.9,59.7,0.0387,0.0048,0.0601,0
YYasabDWA8o,4,0,0.0,165.2,61.9,50.0,0.7724,0.0107,0.0086,0.0195
rxhGiV1--fU,3,0,0.0,155.0,162.4,84.2,0.2883,0.1278,0.0458,0.0282
OgJWT4j4tDo,1,0,0.0,59.9,83.0,68.2,0.1422,0.0057,0.0231,0.0084
2sGxX07P6nE,3,0,0.0,115.8,118.5,74.7,0.2186,0.1739,0.1296,0.1336
abr9-2zOKj4,4,3,0.75,91.6,139.6,79.9,0.2012,0.0242,0.0191,0.4727
wxp6peJKOkY,2,0,0.0,84.6,65.9,57.3,0.1517,0.0097,0.0134,0.0102
1-oZvjKuCOs,1,1,1.0,38.3,168.5,83.8,0.0409,0.0011,0.0215,0.1189
2gPBPPTSW3g,3,2,0.667,83.1,195.4,71.3,0.0805,0.0206,0.0254,0.2263
cDtIJO1vJyk,3,0,0.0,105.5,145.7,77.7,0.0621,0.0417,0.0422,0.0809
h7SgKwu4nww,8,3,0.375,70.4,144.9,75.1,0.1805,0.0028,0.0487,0.2346
pyTaQeOeqps,4,1,0.25,99.8,124.5,67.2,0.0763,0.0021,0.0375,0.1589
Sjnk2JSkmwA,2,1,0.5,127.3,129.9,73.4,0.0756,0.0606,0.0173,0.0897
BhZjIpGvQeE,3,1,0.333,83.7,170.2,73.1,0.1379,0.0694,0.0287,0.0936
-ku6z_yGa68,2,0,0.0,96.9,175.7,58.8,0.0103,0.4052,0.0181,0.0229
FmTEcdjQhSA,6,0,0.0,78.9,160.8,69.8,0.0153,0.1571,0.046,0.1558
gB9Q3rGA280,2,0,0.0,80.1,162.0,77.1,0.0352,0.0252,0.0534,0.0326
QiZZf13KWaY,2,1,0.5,67.7,218.3,65.2,0.1329,0.0303,0.0164,0.0868
m91kF-nk-1U,2,1,0.5,67.0,158.5,73.1,0.0684,0.0929,0.0297,0.1214
0VBdWi_OmcI,1,0,0.0,78.5,53.2,40.7,0.1001,0.0987,0.0128,0.0086
jyjx4TzAtaM,4,0,0.0,110.5,100.1,83.1,0.0161,0.0094,0.0437,0.1202
L462aWPcoW8,3,1,0.333,102.9,126.2,75.6,0.1786,0.0387,0.0214,0.1916
gCEvnhHRCsM,1,1,1.0,78.1,73.0,59.3,0.0018,0.0073,0.0099,0.2276
J0U5RgAcaGw,0,0,0,114.7,115.6,60.2,0.0842,0.0362,0.0338,0
3uCK2C2H8LY,1,0,0.0,82.7,118.3,82.0,0.1631,0.0347,0.0658,0.0181
u3ZkuuUOgtU,4,1,0.25,120.1,139.9,103.0,0.0035,0.0013,0.0767,0.0956
ZdhdSqhbz_k,1,0,0.0,133.1,112.0,75.7,0.1135,0.179,0.0594,0.0292
X1cmBizrYcg,3,0,0.0,66.5,119.1,47.5,0.0358,0.067,0.0595,0.0653
E1P72dZOoe4,1,1,1.0,118.6,82.2,68.8,0.2114,0.0453,0.0234,0.0894
Iuehrts17Fk,0,0,0,121.0,96.5,70.9,0.2629,0.0656,0.0243,0
LS6m2w640ug,0,0,0,169.1,122.7,67.4,0.1051,0.0509,0.0152,0
pFL0kdVyoyA,4,0,0.0,138.2,149.3,70.0,0.1874,0.0065,0.0291,0.0503
GFyNT2P4h1g,4,0,0.0,138.9,99.7,79.0,0.1402,0.1077,0.0172,0.1571
BFD-Kj_4faM,2,0,0.0,161.0,130.1,71.4,0.1409,0.0614,0.0425,0.0912
0Y3eatSeaek,1,1,1.0,180.5,217.3,100.7,0.0401,0.2489,0.0555,0.063
3qEVNfhNgVI,1,0,0.0,86.9,100.8,79.0,0.1733,0.0727,0.0589,0.03
-f2C1UJOxSY,2,0,0.0,151.5,151.6,74.9,0.1352,0.0239,0.0604,0.007
sm4cSJuZqds,0,0,0,100.4,129.7,74.8,0.0918,0.0818,0.0383,0
mFHJ1kE58iU,1,1,1.0,117.0,154.0,80.9,0.118,0.014,0.0286,0.0833
5RzAncsQt5o,0,0,0,109.3,145.7,81.1,0.1586,0.0554,0.0456,0
uvoYsDzW2b8,0,0,0,126.2,132.3,87.8,0.3486,0.0435,0.016,0
i6UjkcN2JRo,0,0,0,162.7,88.2,61.5,0.0441,0.0002,0.0319,0
vVQhdSbStGI,1,1,1.0,132.2,150.5,78.0,0.2275,0.248,0.0409,0.1269
EXOyCHnXaMI,1,0,0.0,132.5,193.0,74.5,0.0547,0.2272,0.0264,0.1063
VP_ksmR0n0k,0,0,0,137.2,89.0,57.6,0.4835,0.0114,0.0202,0
M-yCdaaFgDw,0,0,0,131.6,167.2,67.1,0.2768,0.0207,0.0376,0
si7jzIBIC6M,1,0,0.0,175.4,171.3,82.8,0.1053,0.1625,0.0449,0.0068
aIjpNInf0vo,0,0,0,52.8,156.7,63.0,0.0481,0.0325,0.0275,0
anxCjL7NeOk,1,0,0.0,104.9,177.9,88.6,0.1656,0.1241,0.0552,0.0635
gLQaVrk2Bok,2,0,0.0,123.9,106.5,68.0,0.0063,0.1643,0.0431,0.117
yFJX3de_sxE,1,0,0.0,78.0,151.8,76.4,0.0222,0.1165,0.0635,0.005
n2LFHj4ZWvo,1,0,0.0,113.5,122.3,72.9,0.2435,0.0038,0.0495,0.1196
0ICj5omjS_Y,3,0,0.0,91.7,146.1,65.5,0.1,0.0002,0.0297,0.0163
tyfKi1Qp5Yg,0,0,0,141.8,135.2,70.1,0.3631,0.0655,0.0822,0
XoX3zCpCKpM,0,0,0,133.2,187.0,85.0,0.2949,0.0251,0.0504,0
C6lk8v5OqHw,2,1,0.5,121.0,155.0,76.6,0.0912,0.0095,0.0417,0.0765
duAsmW7Zr2A,0,0,0,134.1,151.2,81.5,0.064,0.0213,0.0679,0
-KTalhr7lUk,1,1,1.0,79.7,190.6,87.6,0.2278,0.0798,0.0251,0.0734
zZ8ODlg1M-I,1,1,1.0,147.5,185.2,65.4,0.6333,0.0025,0.0244,0.0599
whSA15g0WWY,2,0,0.0,150.8,96.1,70.6,0.1343,0.0244,0.0354,0.0168
k0AwhMHVQFQ,0,0,0,179.9,180.7,91.7,0.1633,0.1694,0.0606,0
mC747F4aQZk,1,0,0.0,126.0,99.5,73.3,0.037,0.1331,0.0384,0.0034
vqmDPyC-8Do,0,0,0,131.6,98.6,59.7,0.2379,0.0214,0.0396,0
30jaU1yeoVY,2,0,0.0,90.6,170.5,76.4,0.2304,0.0189,0.0322,0.0866
v2UcVdmuW0g,1,0,0.0,107.4,95.3,60.9,0.2544,0.0442,0.0141,0.0384
UZuHoi6sVNA,0,0,0,90.2,186.8,85.1,0.1823,0.0976,0.0293,0
76lIYY9IHvE,3,0,0.0,77.0,168.5,72.4,0.011,0.0035,0.045,0.029
xODkHjqxnvQ,2,0,0.0,85.1,91.0,57.1,0.0334,0.0016,0.0638,0.0264
OqUply4mzEo,1,0,0.0,103.8,195.6,67.8,0.066,0.0305,0.0348,0.0039
gaFmfOn1bhE,0,0,0,104.5,82.0,67.7,0.1678,0.063,0.0244,0
WMf47O3E2HE,1,0,0.0,121.3,92.7,75.1,0.347,0.0732,0.0394,0.0047
EOzsWYRvIEg,0,0,0,95.1,188.0,82.0,0.082,0.0107,0.0577,0
nypmlqXvAqY,2,1,0.5,138.4,175.2,66.9,0.0688,0.0027,0.0479,0.087
U_zHyXPbGTo,3,1,0.333,110.8,121.8,61.7,0.0644,0.0089,0.0687,0.0785
IQxozR6FLsI,1,0,0.0,106.0,149.0,79.4,0.0815,0.063,0.0964,0.0025
xzwY6O-V_E4,0,0,0,135.7,194.7,94.8,0.2555,0.1281,0.0568,0
MzgczMjQ-Uw,2,0,0.0,55.7,156.3,44.8,0.0873,0.0008,0.0244,0.0217
vaIE0MkalZI,5,0,0.0,82.3,123.7,62.8,0.1217,0.0087,0.0404,0.0656
nfNpDV7sBBo,2,2,1.0,90.9,155.6,52.8,0.0326,0.1926,0.0279,0.0985
ul-YvfAfsvw,5,0,0.0,114.7,86.0,59.4,0.4286,0.0017,0.0482,0.0574
UkgqM1j3qBs,4,2,0.5,93.2,181.7,67.3,0.1056,0.153,0.1503,0.0811
jbKIAO2tlfA,3,0,0.0,101.1,176.5,64.8,0.1213,0.0236,0.1361,0.1026
L9__AYV1wOE,1,0,0.0,81.4,218.8,55.8,0.0321,0.0733,0.0322,0.0238
hPgSQfsCtZo,6,0,0.0,88.0,193.0,78.7,0.149,0.0724,0.0733,0.1645
ehDsT9aWlMQ,0,0,0,68.0,101.6,87.0,0.0262,0.1055,0.0878,0
UtFtqHd6Z3g,6,0,0.0,125.6,140.4,69.0,0.2294,0.0455,0.1416,0.2139
ncEYHiiYvk4,10,1,0.1,90.6,182.4,76.9,0.2162,0.0523,0.0806,0.0831
246XtiyIKm0,2,1,0.5,121.8,168.7,79.2,0.2228,0.064,0.0331,0.1409
o-VfZWfmzLQ,2,1,0.5,81.8,146.2,71.7,0.036,0.1587,0.0621,0.104
KkdkmRUjMFM,4,0,0.0,76.2,152.3,71.2,0.1992,0.0043,0.1202,0.0538
y-3sri2fsqc,2,0,0.0,45.4,164.6,60.8,0.0289,0.0138,0.0323,0.0076
_8mKKYl9PWw,6,0,0.0,75.9,119.4,61.2,0.0129,0.0297,0.1249,0.1024
EhtkGtBBFCU,1,0,0.0,65.9,187.4,60.2,0.0396,0.0165,0.0348,0.0064
TD3RXRptpIU,1,1,1.0,94.8,208.9,69.4,0.0849,0.0013,0.0495,0.1139
EXvWW2E6xpo,6,0,0.0,66.3,126.4,63.1,0.0759,0.0081,0.0352,0.0711
uQ7ocxHsaxE,1,0,0.0,62.3,189.5,72.1,0.0632,0.0408,0.1143,0.0413
k0y9e0_KgGg,6,0,0.0,99.7,158.0,71.5,0.1375,0.0757,0.1671,0.1011
LllZitK8nns,6,0,0.0,123.7,168.8,60.9,0.0317,0.4398,0.0847,0.1176
3GSn2zoIHrc,3,0,0.0,78.6,144.6,93.4,0.1237,0.0724,0.1992,0.067
J-b9i0tNEPQ,2,0,0.0,102.1,108.7,80.5,0.0814,0.1692,0.0969,0.1269
2ReiG0mVnrM,0,0,0,49.0,164.1,71.9,0.0286,0.0259,0.0205,0
R2dpkxPn8b0,1,0,0.0,119.6,207.7,76.0,0.1735,0.0849,0.0419,0.0047
3Ct78X-CwKY,4,1,0.25,42.1,151.7,52.6,0.0398,0.0208,0.0658,0.06
j9OkEQ7hw10,3,0,0.0,58.0,137.9,68.6,0.0696,0.0081,0.0973,0.0201
1HEcqladzMY,3,0,0.0,94.8,137.4,78.0,0.0723,0.0363,0.0536,0.0806
8VfKv3loGw4,5,2,0.4,129.6,210.4,66.1,0.1341,0.3925,0.0405,0.1404
cGoACJpiVKY,3,0,0.0,86.4,196.2,86.5,0.066,0.0029,0.0397,0.0422
D3gTHpkv7kE,5,0,0.0,66.3,185.3,76.7,0.0216,0.0649,0.0449,0.076
L5JLbsPYUZQ,1,0,0.0,123.0,101.7,43.3,0.7339,0.0,0.0126,0.0032
3tUPgxTlL4Q,5,0,0.0,114.5,131.8,65.9,0.0409,0.3101,0.1847,0.0277
