id,channel_short_name,viewCount,is_challenge,is_unboxing,is_prank,is_storytime,is_vlog,is_tutorial,is_reaction,is_qa,is_review,is_mukbang,is_game,is_roleplay,is_music,is_toy,is_shorts,has_clickbait_emotion,has_urgency,has_mystery,has_conflict,has_medical,has_brand,has_money,has_giveaway,has_milestone,has_travel,title_length,word_count,caps_ratio,exclamation_count,question_mark,has_emoji,has_ellipsis,has_number,has_all_caps_word,cluster_v2
FcuHn_yRAYk,acefamily,648151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,0.6756756756756757,0,0,0,1,0,1,2
9FuBBiz934o,acefamily,1244452.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,12,0.6865671641791045,3,1,0,0,0,1,2
gVWw3LPs2tQ,acefamily,479690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,0.7419354838709677,0,0,0,1,0,1,2
buDUHXHTvrM,acefamily,489756.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,7,0.8113207547169812,0,0,0,0,0,1,2
0EaoARcw3yw,acefamily,607482.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,4,0.65625,3,0,0,0,1,1,2
Lz9rYL_AKww,acefamily,573157.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0.7659574468085106,3,0,0,1,0,1,2
UL59zv8Ftzg,acefamily,592547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0.7058823529411765,3,0,0,0,0,1,2
8W_Nn_qP5uQ,acefamily,730165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,11,0.7450980392156863,0,0,0,1,0,1,2
oKCih0Bclb4,acefamily,389482.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,12,0.7027027027027027,3,1,0,0,0,1,2
hRdysac16-I,acefamily,422663.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,8,0.7627118644067796,3,0,0,0,0,1,2
0Sv_KDCXnnU,acefamily,811725.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,75,12,0.76,3,0,0,0,0,1,2
Mg6qEbCh5wA,acefamily,685814.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,9,0.6,3,0,0,1,1,1,2
4KLqQ2IEb2Y,acefamily,783790.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0.7608695652173914,3,0,0,0,0,1,2
yxl7CyaBqRg,acefamily,413749.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0.625,0,0,0,1,0,1,2
GueV9cuX2G8,acefamily,1189069.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,7,0.7592592592592593,0,0,0,1,0,1,2
pJUnz_97d6E,acefamily,646834.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,7,0.7346938775510204,3,0,0,0,0,1,2
eo9lnHCrm2A,acefamily,1020194.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,41,5,0.7073170731707317,3,0,0,0,0,1,2
M0UYH2GXJng,acefamily,1090460.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,12,0.6779661016949152,3,0,0,0,1,1,2
wRYyFXLFkGc,acefamily,837710.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,0.7391304347826086,0,0,1,0,0,1,2
F_A_YpSrj54,acefamily,1207742.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,9,0.7241379310344828,0,0,0,1,0,1,2
pOdmsbrTsVs,acefamily,1254196.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,52,6,0.75,3,0,0,0,0,1,2
zAcqcC6EQhg,acefamily,1667700.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,72,10,0.7777777777777778,3,0,0,0,0,1,1
V0eyIW4Yd7Q,acefamily,1830117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0.7142857142857143,3,0,0,0,0,1,2
t9_jSnxAyBE,acefamily,1445418.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,61,8,0.7377049180327869,0,0,0,1,1,1,2
YgvCP-XMqTU,acefamily,1190442.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0.6666666666666666,0,0,0,1,0,1,2
qecVjvtamEw,acefamily,1094488.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11,0.75,1,0,0,0,0,1,2
kO5pNNTh9IU,acefamily,866440.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0.72,3,0,0,0,0,1,2
piqblGap92s,acefamily,784381.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8,0.7209302325581395,0,0,0,1,0,1,2
1fHiDkBvRSk,acefamily,826285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0.8181818181818182,0,0,0,1,0,1,2
ike-P6qFAzs,acefamily,1437326.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,5,0.7916666666666666,1,0,0,0,0,1,2
IkgFaBwItRc,acefamily,941067.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,3,0.6470588235294118,3,0,0,0,0,1,2
bS4blcjlALc,acefamily,606022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,7,0.78,3,0,0,0,1,1,2
jVKfMSCaJA4,acefamily,751526.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,68,8,0.7794117647058824,0,0,0,1,0,1,2
0KqGn9YMDcg,acefamily,925816.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,7,0.7857142857142857,0,0,0,1,0,1,2
