cluster,category,n_thumbnails,face_pct,large_face_pct,smile_pct,mean_saturation,text_density,view_boost
0,Nursery Rhymes & Kids Songs,101,0.297029702970297,0.12871287128712872,0.019801980198019802,100.51234419405483,0.08738300229762562,72.4350238287051
1,Baby Milestones & Parenting Vlogs,130,0.7230769230769231,0.23846153846153847,0.1076923076923077,76.20786807224893,0.07419422186609688,-0.42435672202432373
2,Pretend Play & Kids Adventures,111,0.7747747747747747,0.08108108108108109,0.036036036036036036,108.1754173411693,0.09639379613988988,6.850699331243266
3,Food & DIY Kids Challenges,132,0.7878787878787878,0.20454545454545456,0.09848484848484848,93.2348989460578,0.08065912214593855,0.2061168431576188
4,Family Vlogs & Celebrations,191,0.8167539267015707,0.15706806282722513,0.1099476439790576,88.75825495836969,0.09103553308912643,-0.500018441767692
5,Family Vlogs & Kid Challenges,203,0.8325123152709359,0.21182266009852216,0.1477832512315271,88.95792047242749,0.07568574785337985,0.446482960777272
6,Kid-Friendly Short Clips,100,0.61,0.1,0.01,88.72459820601853,0.053303240740740734,-0.32336377842701425
7,Family Vlog & Drama,100,0.73,0.1,0.02,62.5078941550926,0.08889207175925926,-0.5978918147670028
8,Family Vlog & Lifestyle,100,0.68,0.26,0.04,69.03435746527778,0.07613454861111113,0.4111417395440031
9,Family Challenge & Game Videos,161,0.7577639751552795,0.16770186335403728,0.13664596273291926,100.10095682232358,0.08556986364518633,0.7497015345491957
10,Children's Toy Play & Stories,102,0.7156862745098039,0.13725490196078433,0.00980392156862745,102.28599672493418,0.0863566772194989,182.39856930707484
11,Toy Unboxing & Review,136,0.6397058823529411,0.1323529411764706,0.07352941176470588,118.65644162379579,0.09055746240553512,1.3206052782280375
12,Family Drama & Reaction Vlogs,270,0.8518518518518519,0.26296296296296295,0.22962962962962963,84.75133485243056,0.07246417663323046,-0.438151164257913
13,Family Lifestyle Vlogs,121,0.9173553719008265,0.09917355371900827,0.14049586776859505,62.199068825088,0.08585289447505356,-0.30568297630718166
14,Roleplay & Toy Adventure,142,0.7464788732394366,0.04225352112676056,0.07042253521126761,124.87759838217674,0.08769848365365807,0.30733011734787974
