channel_short_name,0,1,2,3,4,5,6,7
acefamily,13.32398316970547,17.251051893408135,20.336605890603085,5.189340813464235,16.97054698457223,0.2805049088359046,15.287517531556801,11.360448807854137
andrewdavila,0.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333
bonniehoellein,11.274329783327213,11.164157179581343,17.076753580609623,10.429673154608887,13.734851266984943,2.130003672420125,26.294528094013952,7.895703268453912
bratayley,17.82708492731446,5.087987758224942,36.342769701606734,4.5524100994644225,12.241775057383322,0.0,7.689364957918898,16.258607498087223
brentrivera,11.877828054298641,11.312217194570136,28.167420814479637,7.918552036199094,7.579185520361991,0.6787330316742082,21.49321266968326,10.972850678733032
cocomelon,8.421583459404943,15.229450327786182,18.759455370650528,8.673726676752395,10.741301059001513,2.8240040342914776,19.314170448814927,16.036308623298034
dailybumps,12.398571892242778,18.66277182732879,15.28724440116845,7.010710808179163,14.638104511522233,0.16228497241155468,15.709185329438494,16.131126257708537
ehbee,9.478260869565219,10.434782608695652,19.47826086956522,10.869565217391305,9.478260869565219,0.34782608695652173,22.782608695652172,17.130434782608695
everleighrose,10.69182389937107,15.09433962264151,18.867924528301888,5.660377358490567,18.238993710691823,0.0,18.238993710691823,13.20754716981132
familyfizz,11.942347288949898,18.531228551818806,19.28620452985587,7.687028140013727,20.59025394646534,5.422100205902539,6.314344543582704,10.226492793411118
familyfunpack,17.40644038294169,12.648680011604293,13.4029590948651,9.776617348418915,12.938787351319988,5.395996518711923,14.795474325500436,13.635044966637654
itsyeboi,7.666098807495741,2.555366269165247,12.947189097103918,11.073253833049405,26.2350936967632,0.0,16.695059625212945,22.82793867120954
jordanmatter,12.609457092819614,14.010507880910684,13.660245183887914,4.203152364273205,12.609457092819614,5.253940455341506,14.535901926444833,23.117338003502628
kkandbabyj,12.53731343283582,19.402985074626866,19.573560767590617,5.415778251599147,13.475479744136459,1.023454157782516,20.341151385927507,8.230277185501066
labrantfam,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333
piersonwodzynski,17.835365853658537,5.640243902439025,25.76219512195122,7.621951219512195,11.432926829268293,0.9146341463414633,21.49390243902439,9.298780487804878
piperrockelle,6.985294117647059,8.333333333333332,19.485294117647058,5.269607843137255,8.946078431372548,14.583333333333334,20.34313725490196,16.05392156862745
rebeccazamolo,5.726495726495727,18.461538461538463,18.11965811965812,10.598290598290598,7.179487179487179,0.5128205128205128,21.025641025641026,18.37606837606838
ryansworld,11.614654002713703,6.8385345997286295,19.918588873812755,12.618724559023068,16.363636363636363,2.8222523744911805,9.579375848032564,20.244233378561738
tannerites,13.484740951029098,10.078069552874378,19.020581973030517,7.594038325053229,13.981547196593327,0.14194464158977999,15.188076650106458,20.511000709723206
theleray,22.415611814345993,7.436708860759493,11.128691983122362,5.116033755274262,13.71308016877637,7.172995780590717,25.31645569620253,7.700421940928271
thesacconejolys,15.953716690042075,17.601683029453017,20.23141654978962,4.453015427769986,11.185133239831698,0.7363253856942497,22.720897615708274,7.1178120617110805
thesuperherobuddy,5.508371754428537,2.8633826741082262,30.01698616840573,8.1048289250182,17.568551322494542,0.16986168405726765,21.232710507158455,14.535306964329045
theweisslife,6.215621562156215,6.435643564356436,5.775577557755775,2.42024202420242,15.016501650165019,30.25302530253025,30.47304730473047,3.4103410341034106
vladandniki,9.960552268244575,10.157790927021697,18.441814595660748,9.763313609467456,13.609467455621301,0.6903353057199211,14.398422090729785,22.978303747534518
