dimension,n_channels,mean_premium,median_premium,p_value,p_corrected,significant_fdr
performative_labor,67,0.3539485018484197,0.2696135544143896,4.644870853937912e-05,0.0002786922512362747,True
emotional_bait,60,0.2812040612840943,0.1560798300914641,0.0004841064709567201,0.0014523194128701605,True
narrative_conflict,50,0.1530792655124549,0.22289384975262472,0.007609452352863144,0.012187981312808915,True
challenge_format,49,0.20787101127568924,0.15701384428115261,0.023007538413544637,0.023007538413544637,True
commercial_content,44,-0.32505852182360084,-0.2814449484744994,0.01015665109400743,0.012187981312808915,True
privacy_violation,20,0.40141476031090007,0.23186396590612723,0.00830841064453125,0.012187981312808915,True
