dimension,n_high,n_low,mean_high,mean_low,cohens_d,cliffs_delta
performative_labor,2167,2884,5.932090890937234,5.325140983043233,0.6125302919851698,0.33938099995711735
emotional_bait,1008,4043,5.817283088912381,5.52775815041652,0.28137824459387256,0.17456514100404785
narrative_conflict,603,4448,5.91093320383913,5.541424198255997,0.3592753934110028,0.2142897622200748
challenge_format,857,4194,5.715419909142942,5.558996827282349,0.1513125017218189,0.08521897982838178
commercial_content,368,4683,5.68871706813585,5.577428929037727,0.10752089207505035,0.06319167850411755
privacy_violation,111,4940,5.678311906893548,5.583452415808195,0.09162086430058407,0.05273005799321595
