dimension,n_channels,mean_within_boost,median_within_boost,t_stat,p_value
performative,43,109.16488112455642,19.61958829371515,2.827395043503991,0.003579554609882295
emotional_bait,44,63.43819731838173,24.320308600962715,3.375884153279977,0.0007849133694353605
narrative_conflict,37,116.29808315452175,24.287050989035052,2.238698615904817,0.015724876486456985
challenge_format,31,99.87963792140351,41.95117528486003,3.2408244475669803,0.001457240044080427
commercial_content,14,-33.206208841946854,-43.00767785433931,-3.616853002966374,0.9984353127491282
privacy_violation,22,36.75105478766364,19.98229070944415,1.6557032987093854,0.056325169062194
