quarter,channel_category,mean_drift,n_videos,quarter_str
2022Q4,adult,0.02226919,977,2022Q4
2022Q4,family,0.13143444,792,2022Q4
2023Q1,adult,0.02615147,956,2023Q1
2023Q1,family,0.1134422,723,2023Q1
2023Q2,adult,0.027903445,926,2023Q2
2023Q2,family,0.122779846,871,2023Q2
2023Q3,adult,0.022647098,926,2023Q3
2023Q3,family,0.11745103,701,2023Q3
2023Q4,adult,0.024620378,991,2023Q4
2023Q4,family,0.11793544,701,2023Q4
2024Q1,adult,0.02394491,813,2024Q1
2024Q1,family,0.118143946,656,2024Q1
2024Q2,adult,0.025365282,814,2024Q2
2024Q2,family,0.11612343,775,2024Q2
2024Q3,adult,0.026993442,758,2024Q3
2024Q3,family,0.10523915,811,2024Q3
2024Q4,adult,0.021606801,819,2024Q4
2024Q4,family,0.11098094,854,2024Q4
2025Q1,adult,0.019710874,719,2025Q1
2025Q1,family,0.09794994,690,2025Q1
2025Q2,adult,0.021237843,932,2025Q2
2025Q2,family,0.10782769,751,2025Q2
2025Q3,adult,0.02198989,933,2025Q3
2025Q3,family,0.10187901,748,2025Q3
2025Q4,adult,0.023016965,946,2025Q4
2025Q4,family,0.10455243,875,2025Q4
2026Q1,adult,0.021562412,1039,2026Q1
2026Q1,family,0.10197572,656,2026Q1
2026Q2,adult,0.02806989,335,2026Q2
2026Q2,family,0.114351556,208,2026Q2
