channel_id,channel_title,subscribers,is_known_problematic,if_anomaly_score,ocsvm_anomaly_score,pu_score,ensemble_score,emotional_score_mean,commercial_rate,privacy_score_mean,clickbait_score_mean,child_protagonist_rate,cross_platform,upload_frequency,log_subscribers,views_per_sub
UCx3RchaoRFpDpB60x7xRREw,Meekah - Educational Videos for Kids,6080000,0,-0.025807890824391222,-0.04225141341522942,1.3374993892114027e-05,0.2079057629089256,0.0238095238095238,0.3095238095238095,0.238095238095238,0.0952380952380952,0.5952380952380952,3,3.26027397260274,15.620515418416021,0.02719477936176091
UCI5lrYVm4ctqxEHG4HgvdRA,Our Family Nest,1100000,0,-0.058130559689408945,-9.412812430387163e-06,0.03626810211011667,0.20035192379654723,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,3,8.808219178082192,13.910821646859095,0.0027142399567515545
UCtAXjvtx_fJdc8-kTAEcv6g,Maria & Family Vlogs,5770,0,-0.04785272448439443,-0.014369250135905398,1.1184308523326226e-05,0.19010897026127704,0.0344827586206896,0.0344827586206896,0.6206896551724138,0.9310344827586208,0.0,3,1.904109589041096,8.660600654710967,0.337735048608082
UCOeJBQGvDaEXQZSwTr_V2ow,Fina's Vlog,8690,0,-0.044346576958608885,-0.04710062262760051,1.1466533937573578e-05,0.1844014417004466,0.1666666666666666,0.1666666666666666,1.0,0.3666666666666666,0.0333333333333333,2,0.5178082191780822,9.07004328643746,0.48503432669811686
UC1vyr5sGa-vcl7nDVMj1s_A,The Mummy Vlogger,45000,0,-0.03840186250380401,-0.0742962450619854,1.1184308523326226e-05,0.18326309007547298,0.2,0.26,0.86,0.78,0.04,3,0.9342465753424658,10.714439990727769,0.4700722206173196
UC3KknIJZXRygH2pZ6MDtGbg,Kids Channel - Cartoon Videos for Kids,6900000,0,-0.07374744042985798,-0.000342207333272615,0.03626990216612624,0.18168586271773685,0.0,0.0,0.0,0.16,0.0,1,7.76986301369863,15.747032114495013,0.0024861706541781663
UCIVDPLH_7OhX0HAb8BYDsbA,Rhea & Roy Family Vlog,10000,0,-0.06267739283471097,1.742141614724524e-05,1.1184308523326226e-05,0.17682516105355361,0.0,0.0,0.0,0.06,0.0,0,1.6794520547945206,9.210440366976517,0.2496890310968903
UCpo_bRRIG8SfEXRhEvG94JA,Indian Foodie Family Vlogs,2320,0,-0.0636860434790863,0.00021717811093968642,1.1184308523326226e-05,0.1756862723680595,0.48,0.0,0.72,0.76,0.0,0,4.191780821917808,7.749753406274437,0.034200775527789745
UCakH8fd1GzGJqJMT0NISHJA,Family blog video,1100000,0,-0.0774725443371202,-0.016632242417664145,0.03684638897884436,0.17263023162248403,0.2954545454545454,0.0,0.9772727272727272,0.3181818181818182,0.1363636363636363,1,9.767123287671232,13.910821646859095,0.01261246787296309
UC6QWhGQqf0YDYdRb0n6ojWw,Brooklyn and Bailey,7410000,0,-0.05046108719422637,-0.08479261031441321,1.1184308523326226e-05,0.16575908629545977,0.72,0.1,0.16,1.24,0.18,3,4.495890410958904,15.818341132225028,0.044196344912773966
UC5mMf2NE17_MiTL94ihRN2w,Star Light Kids,2410000,0,-0.05725902017918133,-0.11281947788218283,0.03299777841177868,0.16571462944710869,0.0,0.0238095238095238,0.0,0.0714285714285714,0.6904761904761905,0,1.2301369863013698,14.69513772040451,0.2203941290599346
UCKGhcY5F8Xo3O-R_eo58ISg,Simple Indian family vlog,10900,0,-0.07454605509999213,-1.7824810057853746e-05,2.5941103384011873e-05,0.16271152788672674,0.45,0.0,1.0,0.55,0.55,0,2.6684931506849314,9.296609807128359,0.008283643702412623
UClrJNVolt8PHT7o9HDkV-Bw,Village Cooking Boy,3060000,0,-0.07468031991469237,0.0005061781829130974,1.1184308523326226e-05,0.16270263243627459,0.0,0.0,0.0476190476190476,0.0476190476190476,0.0,2,0.3232876712328767,14.933925800725897,0.018207401457276208
UCvthuVsurPaVz2a7_4LepGg,Family Fun Pack,10500000,0,-0.0554292945867888,-0.1677632157773855,0.04714352454970662,0.1583849327111761,0.08,0.14,0.32,0.76,0.44,2,9.449315068493151,16.166885910365842,0.007023829807254304
UC9zvuudYHEptDdXdkD6GAEA,My Family Vlog,361000,0,-0.06508962703130211,-0.05552944317762998,1.1184308523326226e-05,0.15719713930558488,0.0,0.0,0.0,0.1,0.02,2,1.6657534246575343,12.796636007394284,0.5995808321860604
UCFCKt1z8dli47-J5rI5yd3g,BIG FAMILY,57500,0,-0.0568791053584069,-0.11087931977794785,1.1184308523326226e-05,0.15025770264176905,0.66,0.0,0.84,0.92,0.56,2,6.550684931506849,10.959557617938563,0.04865306690318429
UCyT6APaPTsFEwtEHu-oMqFA,TiffyQuake,1260000,0,-0.06228412063934674,-0.09144596151416917,1.2270697667876195e-05,0.14969598183182956,0.0,0.3,0.2,0.74,0.0,3,2.282191780821918,14.04662307257814,0.01985446043296791
UCPu78bdv1WY6b9Kk7xixhQw,The Ingham Family,1380000,0,-0.08259770089618773,-0.0871857650608685,0.03684638897884436,0.14524891591849753,0.5,0.0,1.0,1.0666666666666669,0.3333333333333333,0,9.476712328767123,14.137594781770806,0.01908836781036149
UCqh9gGUn9Y9Soo94R2qPfcw,Noob Family Vlogs,198000,0,-0.06890228445531715,-0.27904240465571817,0.10521291886072102,0.13782684429045033,0.5306122448979592,0.0612244897959183,0.4693877551020408,1.673469387755102,0.3877551020408163,0,0.5780821917808219,12.19602736016897,0.395485737085022
UCdBpCFv_RTOOBrImOlPT97g,RodVivKids Family Vlog Philippines 🇵🇭 ,11000,0,-0.08576832550028657,-0.06018908188720573,1.1184308523326226e-05,0.13120676055147917,0.28,0.0,1.02,0.6,0.1,0,4.287671232876712,9.305741456739435,0.0687792018907372
UCcULZfOaRdjQo9eQnhOvTLg,All Star Kid Children's Music Channel,238000,0,-0.0728249487234861,-0.16267743692782732,0.030242267734276983,0.13078718675456344,0.0,0.0,0.0,0.0,0.425531914893617,1,1.0767123287671232,12.380030154325457,0.00552509747187724
UCKmK7BiD-WGWAmCxEG9__ew,Abi Firoz -Mommy Vlogger,541000,0,-0.09700134816727624,-0.08408041772374697,0.03626195741429208,0.12876950318374286,0.0,0.0408163265306122,0.0,0.4081632653061224,0.0,3,1.9232876712328768,13.201176406255746,0.0028848639572094797
UCbZgDzTkBQMkPWYBFESJ3sQ,That YouTub3 Family - The Adventurers,3580000,0,-0.08418528794250224,-0.07530659707404275,2.4744990330923826e-05,0.12853416528316805,0.0,0.0,0.6923076923076923,0.6153846153846154,0.0,3,4.734246575342466,15.090873637706453,0.00886089137963928
UCpnDeduW4x-ww_UOaUAH6WQ,Kids Tv - Preschool Learning Videos,2200000,0,-0.08396391568532435,-0.08549871913006502,1.1184308523326226e-05,0.12571529687092353,0.0,0.0416666666666666,0.0,0.0,0.0,1,4.057534246575343,14.603968372873895,0.014102133741454357
UCeJICuSKNGMVQbAAzH6DcAw,Family Fizz,2780000,0,-0.06442646353532411,-0.17220908571944782,2.1073826971094593e-05,0.12278471958131996,0.48,0.18,0.68,0.94,0.6,0,3.9808219178082194,14.837961845378985,0.09782575617778555
UCbZyw49gycS3tZy6xQya0fw,Actor boy sushil,7570,0,-0.08143647515735386,-0.12418111426472378,1.1184308523326226e-05,0.11704846127342429,0.42,0.0,0.12,0.96,0.06,0,0.7643835616438356,8.932080438103307,0.2947193237353058
UCv9KaLMgXHG4Cafo8_qopsg,Suharsh Family in Canada,331000,0,-0.07947458290776521,-0.13711869821221767,1.1184308523326226e-05,0.11547724824390365,0.1,0.0,0.9,0.25,0.05,2,2.580821917808219,12.709876675502672,0.49068869882568333
UCGXMW0suZvGU0zYVaQfnmyw,Hayes Family Vlog,124000,0,-0.056650250832763316,-0.23254920792045142,1.2123242429703088e-05,0.11381875924393117,0.5918367346938775,0.2040816326530612,0.7346938775510204,1.0,0.0612244897959183,1,0.6520547945205479,11.728044909070785,0.642570690262702
UC0JuFXTfkyDOR-rKBfSsEmA,Our Twin Life Family,22700,0,-0.0646455078587288,-0.2014405564008347,1.1184308523326226e-05,0.1136993372731269,0.2,0.1,0.2,0.48,0.28,2,6.238356164383561,10.030164255362632,0.058659970926390914
UCYY3nXWjUXhMU24XQu4oucg,BIG FAMILY,75600,0,-0.07405879623606165,-0.1822175716176938,1.1184308523326226e-05,0.10830825436180269,0.3,0.0,0.74,0.62,0.46,0,0.7972602739726027,11.233224789593368,0.727647517889975
UCEdhDTg-o0-6FqWsmeB1MAw,The Gujju family in Canada,7780,0,-0.08255593795974331,-0.1523524499230855,1.1184308523326226e-05,0.10721741217662095,0.5,0.0,0.9583333333333334,0.8333333333333334,0.1875,0,1.5232876712328767,8.95944014361693,0.44681221351154515
UC0RIR-ic21_RJMJVMPP_0MQ,Canadian Family Life,11600,0,-0.08681041251037325,-0.15021415744650246,1.1184308523326226e-05,0.10280455380052314,0.2,0.0666666666666666,0.8666666666666667,0.9,0.0,2,2.2684931506849315,9.358846580275406,0.030475969669677704
UCpX0Oh5UZSmoGdapjJLvvfQ,Mami Aireh (Fil-Swiss Family vlog),60800,0,-0.08334723744908529,-0.1774822687361033,1.1184308523326226e-05,0.09869422663597088,0.68,0.0,0.88,1.4,0.04,0,2.936986301369863,11.015361515187424,0.08612325455173435
UCGZA0_5LShndtki1B1WCQ3g,Beyond Our Doorstep,161000,0,-0.08077947008700948,-0.22977746836507018,1.1184308523326226e-05,0.08596793899438608,0.28,0.02,0.58,1.18,0.64,1,0.6328767123287671,11.989165855127435,0.04927360699622984
UCWIXaSAwhR0KvMqZMdkolaA,Family Lifestyle ,82000,0,-0.10434203850207702,-0.20708614293950056,0.03626220522138301,0.08292789552653838,0.125,0.0,0.375,0.25,0.25,0,2.5315068493150683,11.314486721293981,0.0005017360415465318
UCmrtxIX1NxdsaOfdGxSl5YQ,The Young Fam,892000,0,-0.0891606560745335,-0.21731339229829683,1.1184308523326226e-05,0.0797645310502849,0.0,0.04,0.1,0.86,0.38,3,3.558904109589041,13.70122253263775,0.022273248572591286
UCuAHfJyWROB4XRReS43EWUw,The Bucket List Family,1500000,0,-0.0759481403650411,-0.2728613484536928,3.565387910593298e-05,0.07872431767491965,0.54,0.16,0.92,1.34,0.44,2,1.3863013698630138,14.220976332738882,0.15672358885094076
