channel_id,video_id,title,published_text,length_seconds,views,is_live,description_snippet,is_commercial,has_emotional_title
UCt_KDu-DtBqvIw7X-V7mlmQ,LnhndChBHec,I Turned Priti’s House Into a CRAZY Water Park!,6 months ago,803,761664.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,Eq0lR3CfJCo,I Built My Dream House Without Telling Anyone| Big Reveal!,6 months ago,505,322803.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,zfQi452PTAA,Priti’s Number LEAKED in My Vlog | You Won’t Believe This!,6 months ago,650,497210.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,_TvISYOMgiU,24 Hours Trapped in a Tiny Room | I Couldn’t Breathe!,7 months ago,517,513552.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,ygaUhp2_mXE,Sourav Joshi’s Girlfriend Exposed? Shocking Truth!,7 months ago,734,652685.0,False,,False,True
UCt_KDu-DtBqvIw7X-V7mlmQ,GjFSIEFW9qg,I Left My Home Forever | Living in a Luxurious Crazy House,7 months ago,625,796687.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,Mv3DkwUMRF8,Locked Inside a ZOMBIE Hospital 😱 | Survived the Craziest Challenge!,7 months ago,576,2604834.0,False,,False,True
UCt_KDu-DtBqvIw7X-V7mlmQ,NVsFUO8W-gE,Wild Challenge Gone Wrong! | Real Footage Inside,7 months ago,511,814406.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,3HRMwSeQtMg,I Accidentally Ruined Priti’s Birthday Party | She Didn’t Forgive Me!,7 months ago,492,307744.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,IX2ov1NtVJ8,Someone Broke Into My House While I Was Alone 😢 | Real Footage,7 months ago,662,504334.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,7GyldTqjteM,A Snake Entered My House 😱 | You Won’t Believe What Happened Next!,7 months ago,649,984345.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,-5zEKn4ttTY,Pari Friend ke Sath BHAAG  Gayi 😱 | The Truth Will Shock You!,8 months ago,573,875611.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,NgDgzua7qmA,My New iPhone Got Stolen … But Police Suspect Me!,8 months ago,603,433842.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,7oqBkV-M-0g,I Destroyed All MY LABUBU DOLLS  at *3 AM*,8 months ago,645,750344.0,False,,False,True
UCt_KDu-DtBqvIw7X-V7mlmQ,dsL9L0G6gWg,Sanket & Priti EXPOSED | There Truth Will SHOCK You!,8 months ago,602,709542.0,False,,False,True
UCt_KDu-DtBqvIw7X-V7mlmQ,Qh4nIxh7dlo,Labubu Dolls GONE MISSING! | I Can’t Believe What I Found!,8 months ago,609,406322.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,auKOFd6uhnc, RICH vs POOR Labubu Land | Priti Vs Pari Who Wins?,8 months ago,679,1214169.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,_EFJM6C6z7o,We Met Priti’s Twin But Something Feels Very Wrong!,8 months ago,543,1081086.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,oZxuFnabma0,Pari Gone Missing In The Game During Hide & Seek! | We Couldn’t Find Her,8 months ago,638,948540.0,False,,False,False
UCt_KDu-DtBqvIw7X-V7mlmQ,mMWC0yObLCA,My Labubu Room | No One Was Allowed Inside … Until Now 😱,8 months ago,589,816648.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,FIr3PahKXIA,APJ Abdul kalam college children's entertainment @prabhati family lifestyle,2 weeks ago,351,77.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,mCwE7zcNtxE,ଏତେ jinisa @prabhati family lifestyle ,4 weeks ago,197,42.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,wkJ2zSOQONE,ଏ ବର୍ଷ ହୋଲି ଖେଳ ନିଆରା🙂🤨 ମ APJ ପିଲା ସହ ରଙ୍ଗ ଖେଳିଲୁ ,1 month ago,427,268.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,MnBduk1cpFo,ହରି ନାମ ମାଧ୍ୟମରେ ପ୍ରଭୁଙ୍କ ବିଭିନ୍ନ ରୂପ ,2 months ago,863,92.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,x8yqMxwiOao,ଶାଶୁ ଘର ଲୋକ ପହଞ୍ଚିଲେ 🙂🙃prabhati family lifestyle ,2 months ago,313,72.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,wM1C5bRNEk8,ଝିଆରୀ ଶାଶୁଘରେ ଲୋକ 🙂🙃,2 months ago,253,91.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,hKYXZpJeWt8,ମହା ଶିବରାତ୍ରି 🙏🙏 ଗୋଟା ଦ୍ଵୀପ ଜାଳି ମନ୍ଦିର ଗଲୁ ,2 months ago,413,75.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,1sRnGJn7tc4,ଏକବାର ସକାଳ ଖାଇବା 😄😃,2 months ago,223,63.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,kC4nd-l-GkE,ଜିନିଷ ଯେମିତି ଦାମ ସେମିତି @prabhati family lifestyle ,2 months ago,293,54.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,OOEYoAkLnX8,ମନ୍ତ୍ରୀ ମହୋଦୟ sir ଖୁସିରେ APJ ପିଲାଙ୍କୁ ଫୁଲ ଦେଲେ4,2 months ago,220,243.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,rSFktD6PLMs,APJ college ର ପିଲା ବେତନଟୀ ସ୍ବସ୍ତି ଶେଫାଳୀ ସତସଙ୍ଗ ବିହାରରେ ପହଞ୍ଚିଲେ ,2 months ago,541,119.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,yHpGqxAArR8,15 thousand people gathered at our Betnati Satsang Bihar Swasthi Shefali @prabhati family lifestyle,2 months ago,438,66.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,dE49tTuCdHk,APJ college's keynote speaker nka speech & prize distribution to the students who came from outside,2 months ago,971,99.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,tffhC269Ulg,APJ Abdul କଲାମ college Foundation day ରେ ସାଂସ୍କୃତିକ କାର୍ଯକ୍ରମ & ଅତିଥି ମଞ୍ଚଶୀନ ହେଲେ @,2 months ago,1073,90.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,QfTqTmAlhiI,AAPJ college Betnatira ଆକର୍ଷଣ ର କେନ୍ଦ୍ର ବିନ୍ଦୁ @prabhati sweet family ,2 months ago,420,94.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,5RIlZXNKFyA,Children are working hard to welcome the Chief Guest on Foundation Day @prabhati ...,2 months ago,535,166.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,XxaYE_ysh0c,Foundtation Day pai ଗୀତ paratice chalichhi @prabhati family lifestyle ,3 months ago,228,78.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,K518vUNzecs,APJ college Betanati Foundation day got everything ready ?????prabhati family lifestyle,3 months ago,816,127.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,RdxuiwKe1OU,ଆଦ୍ୟ ପୂଜ୍ୟ baaba ଗଣେଶ ତଥା ପ୍ରଭୁ ଜଗନ୍ନାଥ & ସାରି ମାଆ ସରସ୍ୱତୀଙ୍କ ଘଟ utheilu @prabhati family lifestyle ,3 months ago,929,184.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,WTY7m0XqQ-g, 🤷🤦 ପୁରା APJ ପିଲା Excited ସହିତ ବାଡି frace ଫୁଲ ତୋଳି ହା ର gundhile @prabhati family lifestyle ,3 months ago,833,378.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,zO9dzHeyFoo,APJ ପିଲାମାନଙ୍କ ପାଇଁ ଠାକୁର ଆସିଲେ 🤷🤦🌹🌺🍁@prabhati family lifestyle ,3 months ago,686,141.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,Oz0bQrZXQxM,ଚାଲିଲୁ ନାଣ ଦ ଘରକୁ😄😄,3 months ago,490,91.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,hdAfKO8iVEE,This is a gift.,3 months ago,425,112.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,onuH7SQz9eQ,କାହାରି ନଜର ନ ଲାଗୁ ,3 months ago,528,171.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,zLYqdl59f9Y,ଏପିଜେ ଅବଦୁଲ କଲାମ ପିଲାଙ୍କ ପାଇ chicken biriyani ତିଆରି hela ,3 months ago,381,124.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,8gMjMMi3_24,ଏପିଜେ ପିଲାମାନଙ୍କୁ ମକର ଗୋଲେଇ ଖାଇବାକୁ ଦେଲି ,3 months ago,477,266.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,hXnNIPItj0A,ଆମ ମୟୂରଭଞ୍ଜ ର ମକର ସଂକ୍ରାନ୍ତି।।।,3 months ago,394,349.0,False,,False,False
UCi5_GXxKjgiW0oWAMYBnNIA,FQSPuMOnPng,APJ Abdul Kalam ra pilamananka pai MD sir nka janmadinare kan rosei hela,3 months ago,673,84.0,False,,False,False
