channel_id,channel_title,subscribers,n_videos,total_videos_on_channel,cross_platform,emotional_score_mean,commercial_rate,privacy_score_mean,clickbait_score_mean,child_protagonist_rate,avg_views,median_views,risk_score
UCHP0T4C5D2PEzGag5fGslcw,Indonesian Mommy,108000,48,673,1,0.25,0.020833333333333332,0.4375,0.375,0.0625,19099.354166666668,15523.5,0.09715967255173472
UCcULZfOaRdjQo9eQnhOvTLg,All Star Kid Children's Music Channel,238000,47,393,1,0.0,0.0,0.0,0.0,0.425531914893617,1314.9787234042553,1282.0,0.08616058992824242
UCI5lrYVm4ctqxEHG4HgvdRA,Our Family Nest,1100000,3,3215,3,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,2985.6666666666665,3226.0,0.07446537363094385
UCKmK7BiD-WGWAmCxEG9__ew,Abi Firoz -Mommy Vlogger,541000,49,702,3,0.0,0.04081632653061224,0.0,0.40816326530612246,0.0,1560.7142857142858,1190.0,0.06066536153792301
UCmKxf6bbhkUuVu4Ps3bfC6A,My OzLife,610000,49,936,2,0.0,0.0,0.0,0.40816326530612246,0.0,76132.4693877551,66888.0,0.04509358359513526
UC3KknIJZXRygH2pZ6MDtGbg,Kids Channel - Cartoon Videos for Kids,6900000,50,2836,1,0.0,0.0,0.0,0.16,0.0,17154.58,15858.5,0.017676684769293023
UCpnDeduW4x-ww_UOaUAH6WQ,Kids Tv - Preschool Learning Videos,2200000,48,1481,1,0.0,0.041666666666666664,0.0,0.0,0.0,31024.708333333332,23757.5,0.015896189983262494
UC9zvuudYHEptDdXdkD6GAEA,My Family Vlog,361000,50,608,2,0.0,0.0,0.0,0.1,0.02,216449.28,193876.0,0.015097475707435531
UClrJNVolt8PHT7o9HDkV-Bw,Village Cooking Boy,3060000,21,118,2,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,55714.666666666664,52426.0,0.009017938022664571
UCIVDPLH_7OhX0HAb8BYDsbA,Rhea & Roy Family Vlog,10000,50,613,0,0.0,0.0,0.0,0.06,0.0,2497.14,2383.0,0.006628756788484882
