channel,category,is_family,viral_idx,viral_views,viral_exploit_score,pre_mean,post_mean,drift_change
aliabdaal,adult,0,504,2184747,0.14522336,0.060484372,0.04841412,-0.0120702535
aliabdaal,adult,0,513,2506757,0.042358376,0.051456146,0.07899597,0.027539827
aliabdaal,adult,0,516,6412543,0.16608496,0.044731345,0.06441753,0.019686189
aliabdaal,adult,0,537,3202004,-0.03722889,0.06869601,0.053479925,-0.015216082
aliabdaal,adult,0,563,4562596,0.098256014,0.031289533,0.036642663,0.0053531304
aliabdaal,adult,0,570,2974912,0.090176575,0.053522307,0.013988669,-0.039533637
aliabdaal,adult,0,575,3501263,-0.12898305,0.06615079,0.033456605,-0.032694187
aliabdaal,adult,0,596,3716613,-0.039900776,0.050955094,0.043959863,-0.006995231
aliabdaal,adult,0,618,4215950,-0.1330494,0.05225629,0.008969485,-0.043286804
aliabdaal,adult,0,674,2208958,0.10101281,0.02398487,0.0012877628,-0.022697108
aliabdaal,adult,0,693,3240915,0.03671231,0.026324177,0.02328214,-0.0030420367
aliabdaal,adult,0,703,2255384,0.097682744,0.031289034,-0.012239691,-0.043528724
aliabdaal,adult,0,706,3101946,-0.09285371,0.029656226,-0.012463188,-0.042119414
aliabdaal,adult,0,880,2689281,0.18575813,0.048478313,0.010335236,-0.038143076
aliabdaal,adult,0,1050,3429367,0.049675107,0.012881208,0.028641276,0.015760068
andymation,adult,0,47,59415569,0.042854656,-0.0078534,0.018264512,0.026117912
andymation,adult,0,53,107214777,0.06523113,-0.0005431918,0.028208528,0.02875172
andymation,adult,0,57,146408891,-0.05462721,0.009752539,0.022560848,0.012808309
andymation,adult,0,68,60943098,-0.037771784,0.03507539,0.025249796,-0.009825593
andymation,adult,0,113,57411402,-0.020376254,-0.023491042,0.075079516,0.098570555
besteverfoods,adult,0,132,18045770,-0.10974651,-0.060170397,-0.05739366,0.0027767383
besteverfoods,adult,0,162,13910778,-0.10045682,-0.016410759,-0.055192135,-0.038781375
besteverfoods,adult,0,163,13271955,-0.07224128,-0.023459613,-0.06412463,-0.040665016
besteverfoods,adult,0,184,14809341,0.024610464,-0.0802584,-0.07304902,0.007209383
besteverfoods,adult,0,201,18962640,0.020258244,-0.071928106,-0.031185566,0.04074254
besteverfoods,adult,0,208,13435892,-0.021886893,-0.060093854,-0.021106314,0.03898754
besteverfoods,adult,0,226,12854207,-0.04784271,-0.018191744,-0.022224009,-0.0040322654
besteverfoods,adult,0,228,29661661,0.12764676,-0.020647166,-0.018423196,0.0022239704
besteverfoods,adult,0,235,22589626,-0.08940029,-0.002572544,-0.008068596,-0.005496052
besteverfoods,adult,0,239,15798028,-0.06835446,-0.019124437,-0.0037341765,0.01539026
besteverfoods,adult,0,242,18364534,-0.013501268,-0.022224009,-0.016534436,0.0056895725
besteverfoods,adult,0,244,12974292,0.04865474,-0.018423196,-0.017957175,0.00046602078
besteverfoods,adult,0,251,13778441,-0.03074152,-0.008068596,-0.025400478,-0.017331883
besteverfoods,adult,0,255,17670226,-0.11638047,-0.0037341765,-0.014016507,-0.01028233
besteverfoods,adult,0,258,17029382,0.0032253973,-0.016534436,0.011198423,0.02773286
besteverfoods,adult,0,263,19365371,-0.00385236,-0.028283479,0.008536225,0.036819704
besteverfoods,adult,0,275,12325942,0.025460767,0.005965101,-0.031494997,-0.0374601
besteverfoods,adult,0,278,11901451,0.02065985,0.0069020772,-0.031731546,-0.038633622
besteverfoods,adult,0,279,16698893,-0.06988761,0.008536225,-0.031039301,-0.039575525
besteverfoods,adult,0,280,27123244,-0.06661977,0.006842437,-0.026559787,-0.033402223
besteverfoods,adult,0,284,17628749,0.12962987,-0.0021012456,-0.03410674,-0.032005493
