metric,professional_mean,professional_median,self_managed_mean,self_managed_median,ratio,p_value,significance
Upload Frequency (videos/week),2.992378908176338,1.9108326416802246,2.851534535601435,2.954724866496401,1.0493924835264872,0.9752626144551187,
Production Hours/Week,1.8832372642055095,1.267634618485503,1.8684707134194605,1.9601462980961573,1.0079030143100423,0.6418381810738645,
Sponsor Rate,0.04210183282684885,0.036488766865967553,0.20900478213287924,0.1316251316251316,0.20143956706254557,0.03774789351315313,*
Child Brand Mentions,913.7,301.5,841.2307692307693,164.0,1.086146671543526,0.5556529435125173,
TikTok Videos,771.6,67.5,509.9230769230769,0.0,1.5131694071503998,0.421777683105121,
Total Videos (All Platforms),2652.2,2631.5,2228.923076923077,1897.0,1.1899019878520152,0.43821139060496905,
