quantile,beta,pvalue
0.1,0.9167365946210609,1.8119143298736976e-21
0.25,0.7589700080447274,5.875813839082462e-22
0.5,0.3828760082028638,1.1681069133513566e-08
0.75,0.2876688918909675,0.00013514987686343138
0.9,0.21942969964202086,0.032483246593634545
