Model,IV,DV,beta,se,t,p,R2,N,Channel_FE,Year_FE,Controls
2a: FE only,exploit_title,log(views),0.9691382845276565,0.07663250357846935,12.646569526927806,1.1686718538962861e-36,0.5162389741792075,41157.0,Yes,No,No
2b: FE + Controls,exploit_title,log(views),0.45852365319949495,0.06880730117991292,6.663880799518306,2.6668979611631958e-11,0.6324957418973983,41157.0,Yes,Yes,Yes
2c: Combined score,exploit_combined,log(views),0.1530473578187116,0.08050841696061964,1.9010106470429555,0.05730061805365061,0.6321439012268599,41157.0,Yes,Yes,Yes
