channel_id,video_id,title,published_text,length_seconds,views,is_live,description_snippet,is_commercial,has_emotional_title,num_faces,max_face_ratio,has_open_mouth,brightness,saturation,contrast,colorfulness,edge_density,top_edge_density,bottom_edge_density,has_text_overlay
UCk8GzjMOrta8yxDcKfylJYw,m1WrpXybEWM,Kids Build Playhouses + More Fun Challenges,21 hours ago,3839,38490.0,False,,False,False,1,0.124697265625,True,210.36080295138888,157.8777788628472,51.967824497216036,136.99336439872945,0.15084092881944444,0.08568250868055556,0.18945855034722223,True
UCk8GzjMOrta8yxDcKfylJYw,elmC_4tqp8I,Cardboard Airplane Challenge,2 days ago,1226,1216397.0,False,,False,False,2,0.045600043402777776,True,166.5744509548611,170.27512152777777,64.59050148431302,110.712350365795,0.07452907986111111,0.056553819444444445,0.057470703125,False
UCk8GzjMOrta8yxDcKfylJYw,muoVLVZbf44,Oliver and Mom Colored Balls Everywhere,5 days ago,1317,3483212.0,False,,False,False,2,0.03323025173611111,True,217.73979166666666,140.30703125,56.59495304174006,135.35140365522668,0.05587348090277778,0.029096137152777778,0.04582790798611111,False
UCk8GzjMOrta8yxDcKfylJYw,dYZq4_zy25M,Pool Fun & Outdoor Adventures for Kids,7 days ago,1356,425111.0,False,,False,False,2,0.073916015625,False,204.72166666666666,155.52664279513888,67.9496146097575,127.32950064884652,0.12426974826388888,0.20721028645833334,0.12298177083333334,True
UCk8GzjMOrta8yxDcKfylJYw,w2mMi0alS5k,Cars & Garage Adventures for Kids!,9 days ago,1257,1380193.0,False,,False,False,1,0.06619900173611111,False,183.28479058159724,139.571220703125,64.90644845295978,115.83162123664702,0.07450846354166667,0.13057183159722222,0.05385199652777778,False
UCk8GzjMOrta8yxDcKfylJYw,akW1bVBqwss,Kid Becomes the Parent!,12 days ago,1424,1544453.0,False,,False,False,3,0.046494140625,True,205.56424913194445,136.849033203125,61.19135466863448,121.88515733803807,0.051986762152777775,0.04968532986111111,0.03845486111111111,False
UCk8GzjMOrta8yxDcKfylJYw,ResRoiCduPI,Pets & Animal Stories for Kids,2 weeks ago,1682,746115.0,False,,False,False,2,0.15586046006944446,False,231.85354709201388,99.00233615451388,57.688007697933806,98.93423535321952,0.0646484375,0.059651692708333336,0.03128797743055556,False
UCk8GzjMOrta8yxDcKfylJYw,HoUwwfPACF4,Superhero Bus Adventures! Helping Missions,2 weeks ago,1393,3245690.0,False,,False,False,2,0.010634765625,False,182.60184027777777,152.00036892361112,61.957155107221276,139.32557194451616,0.07574869791666666,0.031239149305555554,0.14222547743055555,False
UCk8GzjMOrta8yxDcKfylJYw,Lj9JZvkY19k,Kids Feed the Color & Shape Tubes!,2 weeks ago,1365,3282245.0,False,,False,False,1,0.03794379340277778,False,207.22427408854168,179.88170247395834,64.64553537715584,157.91686380960414,0.06583550347222222,0.06488715277777778,0.06784939236111111,False
UCk8GzjMOrta8yxDcKfylJYw,0Fm8pxLA9eI,1 Hour of Kids Adventures with Oliver,3 weeks ago,3674,1101299.0,False,,False,False,3,0.042110460069444446,True,226.26896158854166,67.358642578125,56.13520700627876,81.3634096349207,0.05626736111111111,0.07992078993055556,0.033610026041666664,False
UCk8GzjMOrta8yxDcKfylJYw,EycprjLvUCk,Kids Escape Challenges! Minecraft & Mazes,3 weeks ago,1388,1116077.0,False,,False,False,2,0.06354600694444444,True,177.41783094618054,183.58627170138888,42.982460795165885,133.83821463048602,0.07572265625,0.11207139756944444,0.05106336805555556,False
UCk8GzjMOrta8yxDcKfylJYw,p0n3fE-PXWM,Runaway Easter Egg! Fun Easter Stories for Kids,3 weeks ago,1309,2429145.0,False,,False,False,3,0.015365668402777777,False,180.08142361111112,123.34050021701388,45.63350409762571,106.14426035328769,0.07078993055555556,0.01824001736111111,0.0796875,False
UCk8GzjMOrta8yxDcKfylJYw,f8AdmWvxFyc,Oliver and Roma Train at Superhero School!,4 weeks ago,1294,903171.0,False,,False,False,5,0.025400390625,True,182.50148003472222,157.66986219618056,63.3245623558599,132.59156740505463,0.09556966145833333,0.07088758680555556,0.07247178819444444,False
UCk8GzjMOrta8yxDcKfylJYw,IYpPKT46m8I,Oliver Becomes a Superhero! Surprise Eggs,4 weeks ago,1465,4075928.0,False,,False,True,1,0.04041775173611111,True,218.97171115451388,129.52586480034722,79.50065304990585,129.77265898535472,0.07838216145833334,0.01843532986111111,0.08008897569444444,False
UCk8GzjMOrta8yxDcKfylJYw,XXX2r_dWU3A,Kids Boat Challenge! Sink or Float?,1 month ago,1454,2011614.0,False,,False,False,2,0.019193793402777777,True,193.1721245659722,183.73351128472223,48.969033411194474,147.3609695977254,0.09375434027777778,0.04537217881944444,0.04667426215277778,False
UCk8GzjMOrta8yxDcKfylJYw,I_4Xw57Lt-k,Car Rental + More Kids Car Adventures,1 month ago,1529,1949619.0,False,,False,False,6,0.0244140625,True,203.19080403645833,131.971474609375,53.37116319953565,127.78453678600575,0.07690646701388888,0.03161349826388889,0.188818359375,True
UCk8GzjMOrta8yxDcKfylJYw,qRRSzV4WXC0,Adam Learns Weather Safety Rules!,1 month ago,1270,2086879.0,False,,False,False,2,0.012422960069444445,False,221.29277669270834,211.31864583333333,46.69496590084657,209.13166710632552,0.08114691840277778,0.06262478298611111,0.10689019097222222,False
UCk8GzjMOrta8yxDcKfylJYw,fhPaQwEoGGM,Kids Trapped in Minecraft!,1 month ago,1410,1943011.0,False,,False,False,2,0.027087673611111113,True,204.65360026041665,119.622880859375,60.67887561061599,103.62735441924545,0.050634765625,0.031548394097222224,0.048356119791666666,False
UCk8GzjMOrta8yxDcKfylJYw,XYuick59Gs0,Kids Learn Why Safety Matters,1 month ago,1521,1083650.0,False,,False,False,2,0.088134765625,False,167.2533669704861,103.03432183159723,77.58118124686713,70.98404190364496,0.03994357638888889,0.021739366319444446,0.032703993055555554,False
UCk8GzjMOrta8yxDcKfylJYw,3bq2yOr6JqY,Kids Inside the Human Body | Science for Kids,1 month ago,1435,6276291.0,False,,False,False,1,0.038759765625,True,208.725732421875,135.83236436631944,66.98295047203953,124.8118876888628,0.056559244791666664,0.023014322916666666,0.025960286458333332,False
UCk8GzjMOrta8yxDcKfylJYw,sIonITRkiYs,Cardboard Houses Challenge for kids,1 month ago,1827,3251410.0,False,,False,False,4,0.0478515625,True,207.11708658854167,188.16736979166666,57.25716612417292,167.43372662335952,0.07883246527777778,0.04986436631944444,0.04363606770833333,False
UCk8GzjMOrta8yxDcKfylJYw,zvdPu2VniM8,Healthy Habits for Kids! Clean & Hygiene Stories,1 month ago,1570,3208955.0,False,,False,False,3,0.08027777777777778,True,219.92544162326388,110.33550021701389,68.30108380957991,108.16882653944266,0.05326388888888889,0.05461697048611111,0.018478732638888887,False
UCk8GzjMOrta8yxDcKfylJYw,JBcG75_yClI,"ABC, Shapes & Numbers! Fun Learning Challenges for Kids",1 month ago,1210,2129991.0,False,,False,False,4,0.006944444444444444,False,221.46548394097223,170.67391710069444,53.18074319300296,166.15459992054326,0.03626302083333333,0.021533203125,0.030257161458333334,False
UCk8GzjMOrta8yxDcKfylJYw,H7b4qr0n4ec,Oliver and Adam Visit a Farm with Their Mom,1 month ago,1200,1376640.0,False,,False,False,2,0.0032823350694444445,False,164.472734375,127.94610134548611,74.27411864607221,99.0459637519118,0.15181315104166668,0.05353732638888889,0.25044487847222224,True
UCk8GzjMOrta8yxDcKfylJYw,j665V6VtnxE,Giant Dinosaurs at Home & Other Animal Adventures,1 month ago,2348,3390298.0,False,,False,False,2,0.021879340277777777,False,225.7099197048611,96.22000542534722,64.02358711496191,101.7343437979188,0.07750325520833333,0.11917860243055556,0.013037109375,False
UCk8GzjMOrta8yxDcKfylJYw,9z6bVYcWBZM,Robo Nanny! Kids vs the New Babysitter,1 month ago,1392,3063243.0,False,,False,False,4,0.177978515625,True,210.47309895833334,125.4453244357639,68.31851760297609,121.13314932944981,0.05270073784722222,0.08912760416666667,0.034928385416666666,False
UCk8GzjMOrta8yxDcKfylJYw,Zl0W2HK_vr4,Adam Helps Mom Take Care of the Puppy,2 months ago,1285,2987461.0,False,,False,False,1,0.05015733506944445,True,224.3235329861111,73.06368815104166,56.60780882975322,71.0145641966153,0.07106662326388889,0.0525390625,0.007611762152777778,False
UCk8GzjMOrta8yxDcKfylJYw,9ugeJzpj8qE,Adam and Oliver Play Cafe,2 months ago,1319,3159082.0,False,,False,False,2,0.057900390625,True,203.50698350694444,86.57870551215278,57.25323200424727,75.1158071282707,0.05578884548611111,0.024913194444444446,0.11484917534722222,False
UCk8GzjMOrta8yxDcKfylJYw,nnSJVMSicaQ,"100+ Minutes Kids Challenges - Games, Mazes & Adventures",2 months ago,6219,4297967.0,False,,False,False,3,0.057900390625,True,226.29075303819445,177.80990451388888,46.73153292462312,159.7908731900124,0.07121202256944445,0.07277018229166667,0.05112847222222222,False
UCk8GzjMOrta8yxDcKfylJYw,rOR9bCBG_Ig,A Child Looking for a New Home 🏠,2 months ago,1311,3987852.0,False,,False,False,1,0.044275173611111114,True,202.3959429253472,171.647734375,52.478336832882,146.3719758847125,0.11994683159722222,0.09403754340277778,0.12039930555555556,False
UCk8GzjMOrta8yxDcKfylJYw,xfbqLTcdORQ,Learning to Help - Kids Adventure Stories,2 months ago,1273,1960944.0,False,,False,False,1,0.05444444444444444,True,226.41225151909723,73.08032769097223,55.830168799554315,92.34641509562401,0.03846788194444444,0.03599175347222222,0.039252387152777776,False
UCk8GzjMOrta8yxDcKfylJYw,PtX-N1_Eaj0,Magic Emotion Doors Adventure,2 months ago,1665,9723140.0,False,,False,False,3,0.027431640625,False,205.10795355902778,229.72390950520833,50.41024395395502,199.80574343366487,0.05134223090277778,0.057112630208333334,0.12821723090277778,False
UCk8GzjMOrta8yxDcKfylJYw,3OhDk73b_xc,Valentine’s Day at School,2 months ago,1518,12364110.0,False,,False,False,4,0.030261501736111113,True,204.21253038194445,96.35698459201389,65.89244476824167,79.95372560154858,0.06812934027777778,0.06305881076388889,0.032568359375,False
UCk8GzjMOrta8yxDcKfylJYw,aXEeGWn2ymY,Magic Microwave and Other Fun Kids Stories,2 months ago,1309,2708949.0,False,,False,False,1,0.142978515625,False,225.07865125868057,158.6902951388889,62.99057474631919,151.23670913184242,0.04285698784722222,0.06700303819444445,0.023866102430555557,False
UCk8GzjMOrta8yxDcKfylJYw,nzTxCpPTVgQ,"Fun Kids Experiments at Home - Slime, Sand & Colors",2 months ago,1284,3968012.0,False,,False,False,1,0.060947265625,True,235.83263129340278,110.49903645833334,52.327430901618754,138.4030981854885,0.05040690104166667,0.036854383680555554,0.09348415798611111,False
UCk8GzjMOrta8yxDcKfylJYw,BHnKy53rjrk,Inflatable Pool Toys Adventure - Kids Learn to Share,2 months ago,1452,3463846.0,False,,False,False,1,0.009587673611111111,False,189.84709635416667,148.984091796875,60.782704539247725,131.61063315146072,0.10153862847222223,0.204541015625,0.050282118055555554,True
UCk8GzjMOrta8yxDcKfylJYw,lmutDiX_jis,Family Vlog Stories for Kids | Fun Days & Trips,2 months ago,3627,2583960.0,False,,False,False,5,0.010850694444444444,False,192.84954318576388,147.806015625,50.89737816948677,122.4005532349932,0.08648546006944445,0.048502604166666664,0.024110243055555557,False
UCk8GzjMOrta8yxDcKfylJYw,gKnAwqX2KMQ,Family Fun at Ski Dubai - Winter Adventures for Kids,2 months ago,1249,1372960.0,False,,False,False,3,0.0112890625,False,193.94504014756944,151.8500336371528,78.53312173253808,123.93512753829742,0.08048719618055555,0.0749782986111111,0.03624131944444445,False
