num_faces,max_face_ratio,has_open_mouth,brightness,saturation,contrast,colorfulness,edge_density,top_edge_density,bottom_edge_density,has_text_overlay,video_id
1,0.124697265625,True,210.36080295138888,157.8777788628472,51.967824497216036,136.99336439872945,0.15084092881944444,0.08568250868055556,0.18945855034722223,True,m1WrpXybEWM
2,0.045600043402777776,True,166.5744509548611,170.27512152777777,64.59050148431302,110.712350365795,0.07452907986111111,0.056553819444444445,0.057470703125,False,elmC_4tqp8I
2,0.03323025173611111,True,217.73979166666666,140.30703125,56.59495304174006,135.35140365522668,0.05587348090277778,0.029096137152777778,0.04582790798611111,False,muoVLVZbf44
2,0.073916015625,False,204.72166666666666,155.52664279513888,67.9496146097575,127.32950064884652,0.12426974826388888,0.20721028645833334,0.12298177083333334,True,dYZq4_zy25M
1,0.06619900173611111,False,183.28479058159724,139.571220703125,64.90644845295978,115.83162123664702,0.07450846354166667,0.13057183159722222,0.05385199652777778,False,w2mMi0alS5k
3,0.046494140625,True,205.56424913194445,136.849033203125,61.19135466863448,121.88515733803807,0.051986762152777775,0.04968532986111111,0.03845486111111111,False,akW1bVBqwss
2,0.15586046006944446,False,231.85354709201388,99.00233615451388,57.688007697933806,98.93423535321952,0.0646484375,0.059651692708333336,0.03128797743055556,False,ResRoiCduPI
2,0.010634765625,False,182.60184027777777,152.00036892361112,61.957155107221276,139.32557194451616,0.07574869791666666,0.031239149305555554,0.14222547743055555,False,HoUwwfPACF4
1,0.03794379340277778,False,207.22427408854168,179.88170247395834,64.64553537715584,157.91686380960414,0.06583550347222222,0.06488715277777778,0.06784939236111111,False,Lj9JZvkY19k
3,0.042110460069444446,True,226.26896158854166,67.358642578125,56.13520700627876,81.3634096349207,0.05626736111111111,0.07992078993055556,0.033610026041666664,False,0Fm8pxLA9eI
2,0.06354600694444444,True,177.41783094618054,183.58627170138888,42.982460795165885,133.83821463048602,0.07572265625,0.11207139756944444,0.05106336805555556,False,EycprjLvUCk
3,0.015365668402777777,False,180.08142361111112,123.34050021701388,45.63350409762571,106.14426035328769,0.07078993055555556,0.01824001736111111,0.0796875,False,p0n3fE-PXWM
5,0.025400390625,True,182.50148003472222,157.66986219618056,63.3245623558599,132.59156740505463,0.09556966145833333,0.07088758680555556,0.07247178819444444,False,f8AdmWvxFyc
1,0.04041775173611111,True,218.97171115451388,129.52586480034722,79.50065304990585,129.77265898535472,0.07838216145833334,0.01843532986111111,0.08008897569444444,False,IYpPKT46m8I
2,0.019193793402777777,True,193.1721245659722,183.73351128472223,48.969033411194474,147.3609695977254,0.09375434027777778,0.04537217881944444,0.04667426215277778,False,XXX2r_dWU3A
6,0.0244140625,True,203.19080403645833,131.971474609375,53.37116319953565,127.78453678600575,0.07690646701388888,0.03161349826388889,0.188818359375,True,I_4Xw57Lt-k
2,0.012422960069444445,False,221.29277669270834,211.31864583333333,46.69496590084657,209.13166710632552,0.08114691840277778,0.06262478298611111,0.10689019097222222,False,qRRSzV4WXC0
2,0.027087673611111113,True,204.65360026041665,119.622880859375,60.67887561061599,103.62735441924545,0.050634765625,0.031548394097222224,0.048356119791666666,False,fhPaQwEoGGM
2,0.088134765625,False,167.2533669704861,103.03432183159723,77.58118124686713,70.98404190364496,0.03994357638888889,0.021739366319444446,0.032703993055555554,False,XYuick59Gs0
1,0.038759765625,True,208.725732421875,135.83236436631944,66.98295047203953,124.8118876888628,0.056559244791666664,0.023014322916666666,0.025960286458333332,False,3bq2yOr6JqY
4,0.0478515625,True,207.11708658854167,188.16736979166666,57.25716612417292,167.43372662335952,0.07883246527777778,0.04986436631944444,0.04363606770833333,False,sIonITRkiYs
3,0.08027777777777778,True,219.92544162326388,110.33550021701389,68.30108380957991,108.16882653944266,0.05326388888888889,0.05461697048611111,0.018478732638888887,False,zvdPu2VniM8
4,0.006944444444444444,False,221.46548394097223,170.67391710069444,53.18074319300296,166.15459992054326,0.03626302083333333,0.021533203125,0.030257161458333334,False,JBcG75_yClI
2,0.0032823350694444445,False,164.472734375,127.94610134548611,74.27411864607221,99.0459637519118,0.15181315104166668,0.05353732638888889,0.25044487847222224,True,H7b4qr0n4ec
2,0.021879340277777777,False,225.7099197048611,96.22000542534722,64.02358711496191,101.7343437979188,0.07750325520833333,0.11917860243055556,0.013037109375,False,j665V6VtnxE
